name,marketPrice,imageUrl
Erika's Oddish (Energy Symbol Pattern) - 001/217,0.28,https://tcgplayer-cdn.tcgplayer.com/product/676992_in_200x200.jpg
Erika's Oddish - 001/217,0.16,https://tcgplayer-cdn.tcgplayer.com/product/675813_in_200x200.jpg
Erika's Oddish (Poke Ball) - 001/217,0.27,https://tcgplayer-cdn.tcgplayer.com/product/676852_in_200x200.jpg
Erika's Gloom (Poke Ball) - 002/217,0.28,https://tcgplayer-cdn.tcgplayer.com/product/676853_in_200x200.jpg
Erika's Gloom - 002/217,0.16,https://tcgplayer-cdn.tcgplayer.com/product/675814_in_200x200.jpg
Erika's Gloom (Energy Symbol Pattern) - 002/217,0.24,https://tcgplayer-cdn.tcgplayer.com/product/676993_in_200x200.jpg
Erika's Vileplume ex - 003/217,1.07,https://tcgplayer-cdn.tcgplayer.com/product/675815_in_200x200.jpg
Erika's Bellsprout (Energy Symbol Pattern) - 004/217,0.25,https://tcgplayer-cdn.tcgplayer.com/product/676994_in_200x200.jpg
Erika's Bellsprout - 004/217,0.14,https://tcgplayer-cdn.tcgplayer.com/product/675816_in_200x200.jpg
Erika's Bellsprout (Poke Ball) - 004/217,0.25,https://tcgplayer-cdn.tcgplayer.com/product/676854_in_200x200.jpg
Erika's Weepinbell (Poke Ball) - 005/217,0.23,https://tcgplayer-cdn.tcgplayer.com/product/676855_in_200x200.jpg
Erika's Weepinbell - 005/217,0.15,https://tcgplayer-cdn.tcgplayer.com/product/675817_in_200x200.jpg
Erika's Weepinbell (Energy Symbol Pattern) - 005/217,0.33,https://tcgplayer-cdn.tcgplayer.com/product/676995_in_200x200.jpg
Erika's Victreebel (Energy Symbol Pattern) - 006/217,0.32,https://tcgplayer-cdn.tcgplayer.com/product/676996_in_200x200.jpg
Erika's Victreebel - 006/217,0.17,https://tcgplayer-cdn.tcgplayer.com/product/675818_in_200x200.jpg
Erika's Victreebel (Poke Ball) - 006/217,0.24,https://tcgplayer-cdn.tcgplayer.com/product/676856_in_200x200.jpg
Erika's Tangela - 007/217 (Poke Ball),0.24,https://tcgplayer-cdn.tcgplayer.com/product/676857_in_200x200.jpg
Erika's Tangela - 007/217,0.11,https://tcgplayer-cdn.tcgplayer.com/product/675819_in_200x200.jpg
Erika's Tangela - 007/217 (Energy Symbol Pattern),0.23,https://tcgplayer-cdn.tcgplayer.com/product/676997_in_200x200.jpg
Chikorita (Friend Ball) - 008/217,0.28,https://tcgplayer-cdn.tcgplayer.com/product/676858_in_200x200.jpg
Chikorita - 008/217,0.24,https://tcgplayer-cdn.tcgplayer.com/product/675820_in_200x200.jpg
Chikorita (Energy Symbol Pattern) - 008/217,0.27,https://tcgplayer-cdn.tcgplayer.com/product/676998_in_200x200.jpg
Bayleef - 009/217,0.22,https://tcgplayer-cdn.tcgplayer.com/product/675821_in_200x200.jpg
Bayleef (Friend Ball) - 009/217,0.25,https://tcgplayer-cdn.tcgplayer.com/product/676859_in_200x200.jpg
Bayleef (Energy Symbol Pattern) - 009/217,0.36,https://tcgplayer-cdn.tcgplayer.com/product/676999_in_200x200.jpg
Mega Meganium ex - 010/217,1.01,https://tcgplayer-cdn.tcgplayer.com/product/675822_in_200x200.jpg
Wurmple - 011/217,0.13,https://tcgplayer-cdn.tcgplayer.com/product/675823_in_200x200.jpg
Wurmple (Love Ball) - 011/217,0.28,https://tcgplayer-cdn.tcgplayer.com/product/676860_in_200x200.jpg
Wurmple (Energy Symbol Pattern) - 011/217,0.27,https://tcgplayer-cdn.tcgplayer.com/product/677000_in_200x200.jpg
Silcoon (Love Ball) - 012/217,0.26,https://tcgplayer-cdn.tcgplayer.com/product/676861_in_200x200.jpg
Beautifly - 013/217 (Energy Symbol Pattern),0.3,https://tcgplayer-cdn.tcgplayer.com/product/677002_in_200x200.jpg
Beautifly - 013/217 (Love Ball),0.23,https://tcgplayer-cdn.tcgplayer.com/product/676862_in_200x200.jpg
Beautifly - 013/217,0.1,https://tcgplayer-cdn.tcgplayer.com/product/675825_in_200x200.jpg
Cascoon - 014/217,0.13,https://tcgplayer-cdn.tcgplayer.com/product/675826_in_200x200.jpg
Cascoon (Love Ball) - 014/217,0.23,https://tcgplayer-cdn.tcgplayer.com/product/676863_in_200x200.jpg
Dustox - 015/217,0.11,https://tcgplayer-cdn.tcgplayer.com/product/675827_in_200x200.jpg
Dustox - 015/217 (Love Ball),0.28,https://tcgplayer-cdn.tcgplayer.com/product/676864_in_200x200.jpg
Dustox - 015/217 (Energy Symbol Pattern),0.29,https://tcgplayer-cdn.tcgplayer.com/product/677004_in_200x200.jpg
Budew - 016/217 (Energy Symbol Pattern),0.26,https://tcgplayer-cdn.tcgplayer.com/product/677005_in_200x200.jpg
Budew - 016/217 (Friend Ball),0.3,https://tcgplayer-cdn.tcgplayer.com/product/676865_in_200x200.jpg
Budew - 016/217,0.24,https://tcgplayer-cdn.tcgplayer.com/product/675828_in_200x200.jpg
Grubbin (Energy Symbol Pattern) - 017/217,0.22,https://tcgplayer-cdn.tcgplayer.com/product/677006_in_200x200.jpg
Grubbin - 017/217,0.08,https://tcgplayer-cdn.tcgplayer.com/product/675829_in_200x200.jpg
Team Rocket's Tarountula - 018/217,0.11,https://tcgplayer-cdn.tcgplayer.com/product/675830_in_200x200.jpg
Team Rocket's Tarountula (Energy Symbol Pattern) - 018/217,0.21,https://tcgplayer-cdn.tcgplayer.com/product/677007_in_200x200.jpg
Team Rocket's Tarountula (Team Rocket) - 018/217,0.26,https://tcgplayer-cdn.tcgplayer.com/product/676867_in_200x200.jpg
Team Rocket's Spidops - 019/217,0.12,https://tcgplayer-cdn.tcgplayer.com/product/675831_in_200x200.jpg
Team Rocket's Spidops (Team Rocket) - 019/217,0.3,https://tcgplayer-cdn.tcgplayer.com/product/676868_in_200x200.jpg
Team Rocket's Spidops (Energy Symbol Pattern) - 019/217,0.33,https://tcgplayer-cdn.tcgplayer.com/product/677008_in_200x200.jpg
Charmander (Energy Symbol Pattern) - 020/217,0.32,https://tcgplayer-cdn.tcgplayer.com/product/677009_in_200x200.jpg
Charmander - 020/217,0.14,https://tcgplayer-cdn.tcgplayer.com/product/675832_in_200x200.jpg
Charmander (Friend Ball) - 020/217,0.31,https://tcgplayer-cdn.tcgplayer.com/product/676869_in_200x200.jpg
Charmeleon - 021/217,0.15,https://tcgplayer-cdn.tcgplayer.com/product/675833_in_200x200.jpg
Charmeleon (Energy Symbol Pattern) - 021/217,0.42,https://tcgplayer-cdn.tcgplayer.com/product/677010_in_200x200.jpg
Charmeleon (Friend Ball) - 021/217,0.32,https://tcgplayer-cdn.tcgplayer.com/product/676870_in_200x200.jpg
Mega Charizard Y ex - 022/217,7.8,https://tcgplayer-cdn.tcgplayer.com/product/675834_in_200x200.jpg
Ethan's Slugma - 023/217,0.06,https://tcgplayer-cdn.tcgplayer.com/product/675835_in_200x200.jpg
Ethan's Slugma (Energy Symbol Pattern) - 023/217,0.19,https://tcgplayer-cdn.tcgplayer.com/product/677011_in_200x200.jpg
Ethan's Slugma (Poke Ball) - 023/217,0.25,https://tcgplayer-cdn.tcgplayer.com/product/676871_in_200x200.jpg
