name,marketPrice,imageUrl
Bulbasaur - 001/132,0.26,https://tcgplayer-cdn.tcgplayer.com/product/654340_in_200x200.jpg
Ivysaur - 002/132,0.26,https://tcgplayer-cdn.tcgplayer.com/product/654341_in_200x200.jpg
Mega Venusaur ex - 003/132,0.86,https://tcgplayer-cdn.tcgplayer.com/product/654342_in_200x200.jpg
Exeggcute - 004/132,0.04,https://tcgplayer-cdn.tcgplayer.com/product/654343_in_200x200.jpg
Exeggutor - 005/132,0.07,https://tcgplayer-cdn.tcgplayer.com/product/654344_in_200x200.jpg
Tangela - 006/132,0.08,https://tcgplayer-cdn.tcgplayer.com/product/654345_in_200x200.jpg
Tangrowth - 007/132,0.02,https://tcgplayer-cdn.tcgplayer.com/product/654346_in_200x200.jpg
Chikorita - 008/132,0.22,https://tcgplayer-cdn.tcgplayer.com/product/654347_in_200x200.jpg
Bayleef - 009/132,0.28,https://tcgplayer-cdn.tcgplayer.com/product/654348_in_200x200.jpg
Meganium - 010/132,0.24,https://tcgplayer-cdn.tcgplayer.com/product/654349_in_200x200.jpg
Shuckle - 011/132,0.18,https://tcgplayer-cdn.tcgplayer.com/product/654350_in_200x200.jpg
Celebi - 012/132,0.22,https://tcgplayer-cdn.tcgplayer.com/product/654351_in_200x200.jpg
Seedot - 013/132,0.06,https://tcgplayer-cdn.tcgplayer.com/product/654352_in_200x200.jpg
Nuzleaf - 014/132,0.03,https://tcgplayer-cdn.tcgplayer.com/product/654353_in_200x200.jpg
Shiftry - 015/132,0.06,https://tcgplayer-cdn.tcgplayer.com/product/654354_in_200x200.jpg
Nincada - 016/132,0.17,https://tcgplayer-cdn.tcgplayer.com/product/654355_in_200x200.jpg
Ninjask - 017/132,0.07,https://tcgplayer-cdn.tcgplayer.com/product/654356_in_200x200.jpg
Dhelmise - 018/132,0.04,https://tcgplayer-cdn.tcgplayer.com/product/654357_in_200x200.jpg
Vulpix - 019/132,0.06,https://tcgplayer-cdn.tcgplayer.com/product/654358_in_200x200.jpg
Ninetales - 020/132,0.12,https://tcgplayer-cdn.tcgplayer.com/product/654359_in_200x200.jpg
Numel - 021/132,0.07,https://tcgplayer-cdn.tcgplayer.com/product/654360_in_200x200.jpg
Mega Camerupt ex - 022/132,0.52,https://tcgplayer-cdn.tcgplayer.com/product/654361_in_200x200.jpg
Litleo - 023/132,0.11,https://tcgplayer-cdn.tcgplayer.com/product/654362_in_200x200.jpg
Pyroar - 024/132,0.06,https://tcgplayer-cdn.tcgplayer.com/product/654363_in_200x200.jpg
Volcanion - 025/132,0.05,https://tcgplayer-cdn.tcgplayer.com/product/654364_in_200x200.jpg
Scorbunny - 026/132,0.14,https://tcgplayer-cdn.tcgplayer.com/product/654365_in_200x200.jpg
Raboot - 027/132,0.16,https://tcgplayer-cdn.tcgplayer.com/product/654366_in_200x200.jpg
Cinderace - 028/132,0.21,https://tcgplayer-cdn.tcgplayer.com/product/654367_in_200x200.jpg
Sizzlipede - 029/132,0.06,https://tcgplayer-cdn.tcgplayer.com/product/654368_in_200x200.jpg
Centiskorch - 030/132,0.04,https://tcgplayer-cdn.tcgplayer.com/product/654369_in_200x200.jpg
Chi-Yu - 031/132,0.09,https://tcgplayer-cdn.tcgplayer.com/product/654370_in_200x200.jpg
