name,marketPrice,imageUrl
Oddish - 001/094,0.15,https://tcgplayer-cdn.tcgplayer.com/product/662205_in_200x200.jpg
Gloom - 002/094,0.15,https://tcgplayer-cdn.tcgplayer.com/product/662164_in_200x200.jpg
Vileplume - 003/094,0.17,https://tcgplayer-cdn.tcgplayer.com/product/662238_in_200x200.jpg
Mega Heracross ex - 004/094,0.77,https://tcgplayer-cdn.tcgplayer.com/product/662186_in_200x200.jpg
Lotad - 005/094,0.12,https://tcgplayer-cdn.tcgplayer.com/product/662178_in_200x200.jpg
Lombre - 006/094,0.08,https://tcgplayer-cdn.tcgplayer.com/product/662177_in_200x200.jpg
Ludicolo - 007/094,0.12,https://tcgplayer-cdn.tcgplayer.com/product/662179_in_200x200.jpg
Genesect - 008/094,0.13,https://tcgplayer-cdn.tcgplayer.com/product/662161_in_200x200.jpg
Nymble - 009/094,0.12,https://tcgplayer-cdn.tcgplayer.com/product/662203_in_200x200.jpg
Lokix - 010/094,0.04,https://tcgplayer-cdn.tcgplayer.com/product/662176_in_200x200.jpg
Charmander - 011/094,0.19,https://tcgplayer-cdn.tcgplayer.com/product/662143_in_200x200.jpg
Charmeleon - 012/094,0.16,https://tcgplayer-cdn.tcgplayer.com/product/662144_in_200x200.jpg
Mega Charizard X ex - 013/094,4.92,https://tcgplayer-cdn.tcgplayer.com/product/662182_in_200x200.jpg
Moltres - 014/094,0.26,https://tcgplayer-cdn.tcgplayer.com/product/662201_in_200x200.jpg
Darumaka - 015/094,0.1,https://tcgplayer-cdn.tcgplayer.com/product/662147_in_200x200.jpg
Darmanitan - 016/094,0.06,https://tcgplayer-cdn.tcgplayer.com/product/662146_in_200x200.jpg
Reshiram - 017/094,0.14,https://tcgplayer-cdn.tcgplayer.com/product/662219_in_200x200.jpg
Oricorio ex - 018/094,0.72,https://tcgplayer-cdn.tcgplayer.com/product/662206_in_200x200.jpg
Charcadet - 019/094,0.15,https://tcgplayer-cdn.tcgplayer.com/product/662142_in_200x200.jpg
Ceruledge - 020/094,0.15,https://tcgplayer-cdn.tcgplayer.com/product/662141_in_200x200.jpg
Seel - 021/094,0.07,https://tcgplayer-cdn.tcgplayer.com/product/662226_in_200x200.jpg
Dewgong - 022/094,0.08,https://tcgplayer-cdn.tcgplayer.com/product/662151_in_200x200.jpg
Swinub - 023/094,0.06,https://tcgplayer-cdn.tcgplayer.com/product/662230_in_200x200.jpg
Piloswine - 024/094,0.12,https://tcgplayer-cdn.tcgplayer.com/product/662213_in_200x200.jpg
Mamoswine - 025/094,0.1,https://tcgplayer-cdn.tcgplayer.com/product/662181_in_200x200.jpg
Suicune - 026/094,0.2,https://tcgplayer-cdn.tcgplayer.com/product/662229_in_200x200.jpg
Piplup - 027/094,0.2,https://tcgplayer-cdn.tcgplayer.com/product/662214_in_200x200.jpg
Prinplup - 028/094,0.12,https://tcgplayer-cdn.tcgplayer.com/product/662216_in_200x200.jpg
Rotom ex - 029/094,0.64,https://tcgplayer-cdn.tcgplayer.com/product/662220_in_200x200.jpg
Yamper - 030/094,0.17,https://tcgplayer-cdn.tcgplayer.com/product/662242_in_200x200.jpg
Boltund - 031/094,0.1,https://tcgplayer-cdn.tcgplayer.com/product/662134_in_200x200.jpg
Pawmi - 032/094,0.08,https://tcgplayer-cdn.tcgplayer.com/product/662210_in_200x200.jpg
Pawmo - 033/094,0.09,https://tcgplayer-cdn.tcgplayer.com/product/662211_in_200x200.jpg
Pawmot - 034/094,0.13,https://tcgplayer-cdn.tcgplayer.com/product/662212_in_200x200.jpg
Misdreavus - 035/094,0.15,https://tcgplayer-cdn.tcgplayer.com/product/662198_in_200x200.jpg
Mismagius ex - 036/094,0.68,https://tcgplayer-cdn.tcgplayer.com/product/662199_in_200x200.jpg
Snubbull - 037/094,0.1,https://tcgplayer-cdn.tcgplayer.com/product/662228_in_200x200.jpg
Granbull - 038/094,0.05,https://tcgplayer-cdn.tcgplayer.com/product/662165_in_200x200.jpg
Cresselia - 039/094,0.11,https://tcgplayer-cdn.tcgplayer.com/product/662145_in_200x200.jpg
Meloetta - 040/094,0.07,https://tcgplayer-cdn.tcgplayer.com/product/662194_in_200x200.jpg
Mega Diancie ex - 041/094,0.68,https://tcgplayer-cdn.tcgplayer.com/product/660379_in_200x200.jpg
Mimikyu - 042/094,0.24,https://tcgplayer-cdn.tcgplayer.com/product/662197_in_200x200.jpg
