name,marketPrice,imageUrl
Spinarak - 001/088,0.07,https://tcgplayer-cdn.tcgplayer.com/product/684397_in_200x200.jpg
Ariados - 002/088,0.06,https://tcgplayer-cdn.tcgplayer.com/product/684398_in_200x200.jpg
Shaymin - 003/088,0.06,https://tcgplayer-cdn.tcgplayer.com/product/684399_in_200x200.jpg
Snivy - 004/088,0.06,https://tcgplayer-cdn.tcgplayer.com/product/684400_in_200x200.jpg
Servine - 005/088,0.04,https://tcgplayer-cdn.tcgplayer.com/product/684401_in_200x200.jpg
Serperior - 006/088,0.1,https://tcgplayer-cdn.tcgplayer.com/product/684402_in_200x200.jpg
Scatterbug - 007/088,0.08,https://tcgplayer-cdn.tcgplayer.com/product/684363_in_200x200.jpg
Spewpa - 008/088,0.04,https://tcgplayer-cdn.tcgplayer.com/product/684364_in_200x200.jpg
Vivillon - 009/088,0.07,https://tcgplayer-cdn.tcgplayer.com/product/684366_in_200x200.jpg
Rowlet - 010/088,0.04,https://tcgplayer-cdn.tcgplayer.com/product/684367_in_200x200.jpg
Dartrix - 011/088,0.05,https://tcgplayer-cdn.tcgplayer.com/product/684369_in_200x200.jpg
Decidueye ex - 012/088,0.59,https://tcgplayer-cdn.tcgplayer.com/product/684370_in_200x200.jpg
Fletchinder - 013/088,0.04,https://tcgplayer-cdn.tcgplayer.com/product/684404_in_200x200.jpg
Talonflame - 014/088,0.12,https://tcgplayer-cdn.tcgplayer.com/product/684405_in_200x200.jpg
Salandit - 015/088,0.04,https://tcgplayer-cdn.tcgplayer.com/product/684382_in_200x200.jpg
Salazzle ex - 016/088,0.56,https://tcgplayer-cdn.tcgplayer.com/product/684376_in_200x200.jpg
Turtonator - 017/088,0.06,https://tcgplayer-cdn.tcgplayer.com/product/684407_in_200x200.jpg
Seel - 018/088,0.06,https://tcgplayer-cdn.tcgplayer.com/product/684372_in_200x200.jpg
Dewgong - 019/088,0.11,https://tcgplayer-cdn.tcgplayer.com/product/684373_in_200x200.jpg
Staryu - 020/088,0.15,https://tcgplayer-cdn.tcgplayer.com/product/684374_in_200x200.jpg
Mega Starmie ex - 021/088,0.75,https://tcgplayer-cdn.tcgplayer.com/product/684360_in_200x200.jpg
Lapras ex - 022/088,0.61,https://tcgplayer-cdn.tcgplayer.com/product/684329_in_200x200.jpg
Amaura - 023/088,0.08,https://tcgplayer-cdn.tcgplayer.com/product/684355_in_200x200.jpg
