name,marketPrice,imageUrl
Weedle - 001/086,0.07,https://tcgplayer-cdn.tcgplayer.com/product/693561_in_200x200.jpg
Kakuna - 002/086,0.11,https://tcgplayer-cdn.tcgplayer.com/product/693502_in_200x200.jpg
Beedrill ex - 003/086,0.61,https://tcgplayer-cdn.tcgplayer.com/product/693453_in_200x200.jpg
Carnivine - 004/086,0.07,https://tcgplayer-cdn.tcgplayer.com/product/693459_in_200x200.jpg
Chespin - 005/086,0.09,https://tcgplayer-cdn.tcgplayer.com/product/693461_in_200x200.jpg
Quilladin - 006/086,0.1,https://tcgplayer-cdn.tcgplayer.com/product/693537_in_200x200.jpg
Chesnaught - 007/086,0.18,https://tcgplayer-cdn.tcgplayer.com/product/693460_in_200x200.jpg
Vulpix - 008/086,0.08,https://tcgplayer-cdn.tcgplayer.com/product/693558_in_200x200.jpg
Ninetales - 009/086,0.08,https://tcgplayer-cdn.tcgplayer.com/product/693526_in_200x200.jpg
Ho-Oh - 010/086,0.15,https://tcgplayer-cdn.tcgplayer.com/product/693500_in_200x200.jpg
Fennekin - 011/086,0.12,https://tcgplayer-cdn.tcgplayer.com/product/693484_in_200x200.jpg
Braixen - 012/086,0.21,https://tcgplayer-cdn.tcgplayer.com/product/693457_in_200x200.jpg
Delphox - 013/086,0.23,https://tcgplayer-cdn.tcgplayer.com/product/693473_in_200x200.jpg
Litleo - 014/086,0.08,https://tcgplayer-cdn.tcgplayer.com/product/693505_in_200x200.jpg
Mega Pyroar ex - 015/086,0.66,https://tcgplayer-cdn.tcgplayer.com/product/693519_in_200x200.jpg
Remoraid - 016/086,0.09,https://tcgplayer-cdn.tcgplayer.com/product/693539_in_200x200.jpg
Octillery - 017/086,0.06,https://tcgplayer-cdn.tcgplayer.com/product/693528_in_200x200.jpg
Delibird - 018/086,0.03,https://tcgplayer-cdn.tcgplayer.com/product/693472_in_200x200.jpg
Keldeo - 019/086,0.14,https://tcgplayer-cdn.tcgplayer.com/product/693503_in_200x200.jpg
Froakie - 020/086,0.13,https://tcgplayer-cdn.tcgplayer.com/product/693488_in_200x200.jpg
Frogadier - 021/086,0.25,https://tcgplayer-cdn.tcgplayer.com/product/693490_in_200x200.jpg
Mega Greninja ex - 022/086,0.97,https://tcgplayer-cdn.tcgplayer.com/product/693515_in_200x200.jpg
Bergmite - 023/086,0.06,https://tcgplayer-cdn.tcgplayer.com/product/693456_in_200x200.jpg
Avalugg - 024/086,0.05,https://tcgplayer-cdn.tcgplayer.com/product/693448_in_200x200.jpg
Wimpod - 025/086,0.06,https://tcgplayer-cdn.tcgplayer.com/product/693562_in_200x200.jpg
Golisopod - 026/086,0.06,https://tcgplayer-cdn.tcgplayer.com/product/693494_in_200x200.jpg
Mareep - 027/086,0.04,https://tcgplayer-cdn.tcgplayer.com/product/693507_in_200x200.jpg
Flaaffy - 028/086,0.1,https://tcgplayer-cdn.tcgplayer.com/product/693487_in_200x200.jpg
Ampharos - 029/086,0.21,https://tcgplayer-cdn.tcgplayer.com/product/693445_in_200x200.jpg
Emolga - 030/086,0.1,https://tcgplayer-cdn.tcgplayer.com/product/693481_in_200x200.jpg
