name,marketPrice,imageUrl
Tropius - 001/084,0.09,https://tcgplayer-cdn.tcgplayer.com/product/704758_in_200x200.jpg
Grubbin - 002/084,0.06,https://tcgplayer-cdn.tcgplayer.com/product/704759_in_200x200.jpg
Fomantis - 003/084,0.1,https://tcgplayer-cdn.tcgplayer.com/product/704760_in_200x200.jpg
Lurantis ex - 004/084,0.52,https://tcgplayer-cdn.tcgplayer.com/product/704761_in_200x200.jpg
Poltchageist - 005/084,0.15,https://tcgplayer-cdn.tcgplayer.com/product/704762_in_200x200.jpg
Sinistcha - 006/084,0.16,https://tcgplayer-cdn.tcgplayer.com/product/704763_in_200x200.jpg
Heatran - 007/084,0.13,https://tcgplayer-cdn.tcgplayer.com/product/704764_in_200x200.jpg
Mega Delphox ex - 008/084,0.61,https://tcgplayer-cdn.tcgplayer.com/product/704765_in_200x200.jpg
Sizzlipede - 009/084,0.03,https://tcgplayer-cdn.tcgplayer.com/product/704766_in_200x200.jpg
Centiskorch - 010/084,0.04,https://tcgplayer-cdn.tcgplayer.com/product/704767_in_200x200.jpg
Charcadet - 011/084,0.1,https://tcgplayer-cdn.tcgplayer.com/product/704768_in_200x200.jpg
Armarouge - 012/084,0.22,https://tcgplayer-cdn.tcgplayer.com/product/704769_in_200x200.jpg
Goldeen - 013/084,0.08,https://tcgplayer-cdn.tcgplayer.com/product/704770_in_200x200.jpg
Seaking - 014/084,0.09,https://tcgplayer-cdn.tcgplayer.com/product/704771_in_200x200.jpg
Wailmer - 015/084,0.15,https://tcgplayer-cdn.tcgplayer.com/product/704772_in_200x200.jpg
Wailord ex - 016/084,0.68,https://tcgplayer-cdn.tcgplayer.com/product/704773_in_200x200.jpg
Relicanth - 017/084,0.1,https://tcgplayer-cdn.tcgplayer.com/product/704774_in_200x200.jpg
Popplio - 018/084,0.1,https://tcgplayer-cdn.tcgplayer.com/product/704775_in_200x200.jpg
Brionne - 019/084,0.1,https://tcgplayer-cdn.tcgplayer.com/product/704776_in_200x200.jpg
Primarina - 020/084,0.21,https://tcgplayer-cdn.tcgplayer.com/product/704777_in_200x200.jpg
Finizen - 021/084,0.07,https://tcgplayer-cdn.tcgplayer.com/product/704778_in_200x200.jpg
Palafin - 022/084,0.06,https://tcgplayer-cdn.tcgplayer.com/product/704779_in_200x200.jpg
Electrike - 023/084,0.13,https://tcgplayer-cdn.tcgplayer.com/product/704780_in_200x200.jpg
Manectric - 024/084,0.07,https://tcgplayer-cdn.tcgplayer.com/product/704781_in_200x200.jpg
Charjabug - 025/084,0.1,https://tcgplayer-cdn.tcgplayer.com/product/704782_in_200x200.jpg
Vikavolt - 026/084,0.1,https://tcgplayer-cdn.tcgplayer.com/product/704783_in_200x200.jpg
Mega Zeraora ex - 027/084,0.56,https://tcgplayer-cdn.tcgplayer.com/product/704784_in_200x200.jpg
Miraidon - 028/084,0.17,https://tcgplayer-cdn.tcgplayer.com/product/704785_in_200x200.jpg
Slowpoke - 029/084,0.16,https://tcgplayer-cdn.tcgplayer.com/product/704786_in_200x200.jpg
Slowbro - 030/084,0.16,https://tcgplayer-cdn.tcgplayer.com/product/704787_in_200x200.jpg
Mega Slowbro ex - 031/084,0.69,https://tcgplayer-cdn.tcgplayer.com/product/704788_in_200x200.jpg
Jynx - 032/084,0.13,https://tcgplayer-cdn.tcgplayer.com/product/704789_in_200x200.jpg
Shuppet - 033/084,0.18,https://tcgplayer-cdn.tcgplayer.com/product/704790_in_200x200.jpg
Banette - 034/084,0.17,https://tcgplayer-cdn.tcgplayer.com/product/704791_in_200x200.jpg
Spiritomb - 035/084,0.16,https://tcgplayer-cdn.tcgplayer.com/product/704792_in_200x200.jpg
Litwick - 036/084,0.16,https://tcgplayer-cdn.tcgplayer.com/product/704793_in_200x200.jpg
Lampent - 037/084,0.12,https://tcgplayer-cdn.tcgplayer.com/product/704794_in_200x200.jpg
Mega Chandelure ex - 038/084,0.65,https://tcgplayer-cdn.tcgplayer.com/product/704795_in_200x200.jpg
Dhelmise - 039/084,0.15,https://tcgplayer-cdn.tcgplayer.com/product/704796_in_200x200.jpg
Marshadow - 040/084,0.06,https://tcgplayer-cdn.tcgplayer.com/product/704797_in_200x200.jpg
Annihilape - 041/084,0.14,https://tcgplayer-cdn.tcgplayer.com/product/704798_in_200x200.jpg
Mankey - 042/084,0.12,https://tcgplayer-cdn.tcgplayer.com/product/704799_in_200x200.jpg
Primeape - 043/084,0.11,https://tcgplayer-cdn.tcgplayer.com/product/704800_in_200x200.jpg
Cranidos - 044/084,0.16,https://tcgplayer-cdn.tcgplayer.com/product/704801_in_200x200.jpg
