name,marketPrice,imageUrl
Pokegear 3.0,0.3,https://tcgplayer-cdn.tcgplayer.com/product/642530_in_200x200.jpg
Pokegear 3.0 (Poke Ball Pattern),4.41,https://tcgplayer-cdn.tcgplayer.com/product/644830_in_200x200.jpg
Audino - 074/086 (Poke Ball Pattern),0.63,https://tcgplayer-cdn.tcgplayer.com/product/642766_in_200x200.jpg
Audino - 074/086 (Master Ball Pattern),12.75,https://tcgplayer-cdn.tcgplayer.com/product/642693_in_200x200.jpg
Audino - 074/086,0.05,https://tcgplayer-cdn.tcgplayer.com/product/642525_in_200x200.jpg
Poke Pad - 081/088,0.29,https://tcgplayer-cdn.tcgplayer.com/product/684332_in_200x200.jpg
Slowpoke - 086 (Cosmos Holo),1.83,https://tcgplayer-cdn.tcgplayer.com/product/706130_in_200x200.jpg
Snivy - 087/086,31.23,https://tcgplayer-cdn.tcgplayer.com/product/642536_in_200x200.jpg
Servine - 088/086,19.14,https://tcgplayer-cdn.tcgplayer.com/product/642537_in_200x200.jpg
Pansage - 089/086,23.62,https://tcgplayer-cdn.tcgplayer.com/product/642538_in_200x200.jpg
Simisage - 090/086,11.54,https://tcgplayer-cdn.tcgplayer.com/product/642539_in_200x200.jpg
Petilil - 091/086,25.06,https://tcgplayer-cdn.tcgplayer.com/product/642540_in_200x200.jpg
Lilligant - 092/086,56.23,https://tcgplayer-cdn.tcgplayer.com/product/642541_in_200x200.jpg
Maractus - 093/086,7.32,https://tcgplayer-cdn.tcgplayer.com/product/642542_in_200x200.jpg
Karrablast - 094/086,17.55,https://tcgplayer-cdn.tcgplayer.com/product/642543_in_200x200.jpg
Foongus - 095/086,19.11,https://tcgplayer-cdn.tcgplayer.com/product/642544_in_200x200.jpg
Amoonguss - 096/086,45.55,https://tcgplayer-cdn.tcgplayer.com/product/642545_in_200x200.jpg
Darumaka - 097/086,16.54,https://tcgplayer-cdn.tcgplayer.com/product/642547_in_200x200.jpg
Darmanitan - 098/086,12.0,https://tcgplayer-cdn.tcgplayer.com/product/642548_in_200x200.jpg
Larvesta - 099/086,15.25,https://tcgplayer-cdn.tcgplayer.com/product/642552_in_200x200.jpg
Volcarona - 100/086,61.11,https://tcgplayer-cdn.tcgplayer.com/product/642553_in_200x200.jpg
Panpour - 101/086,14.71,https://tcgplayer-cdn.tcgplayer.com/product/642554_in_200x200.jpg
Simipour - 102/086,14.91,https://tcgplayer-cdn.tcgplayer.com/product/642555_in_200x200.jpg
Tympole - 103/086,15.17,https://tcgplayer-cdn.tcgplayer.com/product/642556_in_200x200.jpg
Palpitoad - 104/086,12.81,https://tcgplayer-cdn.tcgplayer.com/product/642557_in_200x200.jpg
Seismitoad - 105/086,232.49,https://tcgplayer-cdn.tcgplayer.com/product/642558_in_200x200.jpg
Tirtouga - 106/086,33.28,https://tcgplayer-cdn.tcgplayer.com/product/642559_in_200x200.jpg
Carracosta - 107/086,13.44,https://tcgplayer-cdn.tcgplayer.com/product/642560_in_200x200.jpg
Alomomola - 108/086,25.38,https://tcgplayer-cdn.tcgplayer.com/product/642561_in_200x200.jpg
Cubchoo - 109/086,19.61,https://tcgplayer-cdn.tcgplayer.com/product/642562_in_200x200.jpg
Beartic - 110/086,10.68,https://tcgplayer-cdn.tcgplayer.com/product/642563_in_200x200.jpg
Cryogonal - 111/086,9.53,https://tcgplayer-cdn.tcgplayer.com/product/642564_in_200x200.jpg
Emolga - 112/086,18.75,https://tcgplayer-cdn.tcgplayer.com/product/642565_in_200x200.jpg
Tynamo - 113/086,20.87,https://tcgplayer-cdn.tcgplayer.com/product/642566_in_200x200.jpg
Eelektrik - 114/086,22.87,https://tcgplayer-cdn.tcgplayer.com/product/642567_in_200x200.jpg
Eelektross - 115/086,28.51,https://tcgplayer-cdn.tcgplayer.com/product/642568_in_200x200.jpg
Munna - 116/086,19.85,https://tcgplayer-cdn.tcgplayer.com/product/642570_in_200x200.jpg
Musharna - 117/086,12.82,https://tcgplayer-cdn.tcgplayer.com/product/642571_in_200x200.jpg
Solosis - 118/086,30.57,https://tcgplayer-cdn.tcgplayer.com/product/642572_in_200x200.jpg
Duosion - 119/086,15.88,https://tcgplayer-cdn.tcgplayer.com/product/642573_in_200x200.jpg
Lillie's Determination - 119/132,0.36,https://tcgplayer-cdn.tcgplayer.com/product/654458_in_200x200.jpg
Elgyem - 120/086,14.12,https://tcgplayer-cdn.tcgplayer.com/product/642575_in_200x200.jpg
Beheeyem - 121/086,7.37,https://tcgplayer-cdn.tcgplayer.com/product/642576_in_200x200.jpg
Golett - 122/086,10.37,https://tcgplayer-cdn.tcgplayer.com/product/642577_in_200x200.jpg
Golurk - 123/086,14.62,https://tcgplayer-cdn.tcgplayer.com/product/642578_in_200x200.jpg
Drilbur - 124/086,8.02,https://tcgplayer-cdn.tcgplayer.com/product/642579_in_200x200.jpg
Timburr - 125/086,19.47,https://tcgplayer-cdn.tcgplayer.com/product/642580_in_200x200.jpg
Gurdurr - 126/086,11.38,https://tcgplayer-cdn.tcgplayer.com/product/642581_in_200x200.jpg
Conkeldurr - 127/086,37.89,https://tcgplayer-cdn.tcgplayer.com/product/642582_in_200x200.jpg
Throh - 128/086,8.98,https://tcgplayer-cdn.tcgplayer.com/product/642583_in_200x200.jpg
Dwebble - 129/086,53.13,https://tcgplayer-cdn.tcgplayer.com/product/642584_in_200x200.jpg
Crustle - 130/086,7.03,https://tcgplayer-cdn.tcgplayer.com/product/642585_in_200x200.jpg
Landorus - 131/086,31.11,https://tcgplayer-cdn.tcgplayer.com/product/642586_in_200x200.jpg
Venipede - 132/086,8.62,https://tcgplayer-cdn.tcgplayer.com/product/642587_in_200x200.jpg
Whirlipede - 133/086,7.65,https://tcgplayer-cdn.tcgplayer.com/product/642588_in_200x200.jpg
Scolipede - 134/086,28.7,https://tcgplayer-cdn.tcgplayer.com/product/642589_in_200x200.jpg
Sandile - 135/086,15.61,https://tcgplayer-cdn.tcgplayer.com/product/642590_in_200x200.jpg
Krokorok - 136/086,13.58,https://tcgplayer-cdn.tcgplayer.com/product/642591_in_200x200.jpg
