name,marketPrice,imageUrl
Toedscool - 004/091,0.03,https://tcgplayer-cdn.tcgplayer.com/product/534137_in_200x200.jpg
Toedscruel ex - 005/091,0.48,https://tcgplayer-cdn.tcgplayer.com/product/534139_in_200x200.jpg
Espathra ex - 006/091,0.59,https://tcgplayer-cdn.tcgplayer.com/product/534140_in_200x200.jpg
Charmander - 007/091,0.2,https://tcgplayer-cdn.tcgplayer.com/product/534142_in_200x200.jpg
Charcadet - 014/091,0.04,https://tcgplayer-cdn.tcgplayer.com/product/534155_in_200x200.jpg
Armarouge - 015/091,0.21,https://tcgplayer-cdn.tcgplayer.com/product/534156_in_200x200.jpg
Frigibax - 017/091,0.12,https://tcgplayer-cdn.tcgplayer.com/product/534161_in_200x200.jpg
Pikachu - 018/091,0.3,https://tcgplayer-cdn.tcgplayer.com/product/534163_in_200x200.jpg
Raichu - 019/091,0.21,https://tcgplayer-cdn.tcgplayer.com/product/534165_in_200x200.jpg
Natu - 025/091,0.1,https://tcgplayer-cdn.tcgplayer.com/product/535993_in_200x200.jpg
Xatu - 026/091,0.18,https://tcgplayer-cdn.tcgplayer.com/product/534171_in_200x200.jpg
Ralts - 027/091,0.15,https://tcgplayer-cdn.tcgplayer.com/product/534173_in_200x200.jpg
Dachsbun - 039/091,0.15,https://tcgplayer-cdn.tcgplayer.com/product/534185_in_200x200.jpg
Flittle - 041/091,0.04,https://tcgplayer-cdn.tcgplayer.com/product/534187_in_200x200.jpg
Mankey - 045/091,0.03,https://tcgplayer-cdn.tcgplayer.com/product/534192_in_200x200.jpg
Primeape - 046/091,0.04,https://tcgplayer-cdn.tcgplayer.com/product/534194_in_200x200.jpg
Annihilape - 047/091,0.21,https://tcgplayer-cdn.tcgplayer.com/product/534197_in_200x200.jpg
Charizard ex - 054/091,5.3,https://tcgplayer-cdn.tcgplayer.com/product/534416_in_200x200.jpg
Paldean Wooper - 058/091,0.14,https://tcgplayer-cdn.tcgplayer.com/product/534420_in_200x200.jpg
Paldean Clodsire ex - 059/091,0.6,https://tcgplayer-cdn.tcgplayer.com/product/534421_in_200x200.jpg
Mabosstiff - 063/091,0.1,https://tcgplayer-cdn.tcgplayer.com/product/534425_in_200x200.jpg
Varoom - 064/091,0.03,https://tcgplayer-cdn.tcgplayer.com/product/534426_in_200x200.jpg
Noibat - 068/091,0.02,https://tcgplayer-cdn.tcgplayer.com/product/534430_in_200x200.jpg
Noivern ex - 069/091,0.62,https://tcgplayer-cdn.tcgplayer.com/product/534431_in_200x200.jpg
Lechonk - 071/091,0.03,https://tcgplayer-cdn.tcgplayer.com/product/534433_in_200x200.jpg
Tandemaus - 073/091,0.18,https://tcgplayer-cdn.tcgplayer.com/product/534435_in_200x200.jpg
Maushold - 074/091,0.24,https://tcgplayer-cdn.tcgplayer.com/product/534436_in_200x200.jpg
Squawkabilly ex - 075/091,0.56,https://tcgplayer-cdn.tcgplayer.com/product/534437_in_200x200.jpg
Iono - 080/091,0.27,https://tcgplayer-cdn.tcgplayer.com/product/534442_in_200x200.jpg
Paldean Student - 086/091,0.03,https://tcgplayer-cdn.tcgplayer.com/product/534448_in_200x200.jpg
Professor's Research [Professor Sada] - 087/091,0.18,https://tcgplayer-cdn.tcgplayer.com/product/534449_in_200x200.jpg
Professor's Research [Professor Turo] - 088/091,0.16,https://tcgplayer-cdn.tcgplayer.com/product/534450_in_200x200.jpg
Pineco - 099/091,2.76,https://tcgplayer-cdn.tcgplayer.com/product/534470_in_200x200.jpg
Toedscool - 105/091,2.58,https://tcgplayer-cdn.tcgplayer.com/product/534478_in_200x200.jpg
Charmander - 109/091,50.44,https://tcgplayer-cdn.tcgplayer.com/product/534483_in_200x200.jpg
Armarouge - 115/091,6.04,https://tcgplayer-cdn.tcgplayer.com/product/534497_in_200x200.jpg
Paldean Tauros - 120/091,3.8,https://tcgplayer-cdn.tcgplayer.com/product/534511_in_200x200.jpg
Wugtrio - 122/091,3.3,https://tcgplayer-cdn.tcgplayer.com/product/534513_in_200x200.jpg
Palafin - 124/091,3.41,https://tcgplayer-cdn.tcgplayer.com/product/534515_in_200x200.jpg
Frigibax - 128/091,3.87,https://tcgplayer-cdn.tcgplayer.com/product/534519_in_200x200.jpg
Pikachu - 131/091,79.62,https://tcgplayer-cdn.tcgplayer.com/product/534522_in_200x200.jpg
Pawmi - 142/091,6.01,https://tcgplayer-cdn.tcgplayer.com/product/534577_in_200x200.jpg
Natu - 151/091,2.77,https://tcgplayer-cdn.tcgplayer.com/product/534642_in_200x200.jpg
Ralts - 153/091,9.55,https://tcgplayer-cdn.tcgplayer.com/product/534650_in_200x200.jpg
Kirlia - 154/091,7.12,https://tcgplayer-cdn.tcgplayer.com/product/534659_in_200x200.jpg
Mime Jr. - 157/091,5.12,https://tcgplayer-cdn.tcgplayer.com/product/534671_in_200x200.jpg
Mimikyu -160/091,49.63,https://tcgplayer-cdn.tcgplayer.com/product/534683_in_200x200.jpg
Dachsbun - 161/091,10.47,https://tcgplayer-cdn.tcgplayer.com/product/534685_in_200x200.jpg
Flittle - 164/091,2.4,https://tcgplayer-cdn.tcgplayer.com/product/534694_in_200x200.jpg
Mankey - 169/091,4.83,https://tcgplayer-cdn.tcgplayer.com/product/534728_in_200x200.jpg
Primeape - 170/091,4.17,https://tcgplayer-cdn.tcgplayer.com/product/534730_in_200x200.jpg
Annihilape - 171/091,3.82,https://tcgplayer-cdn.tcgplayer.com/product/534733_in_200x200.jpg
Nacli - 176/091,2.33,https://tcgplayer-cdn.tcgplayer.com/product/534762_in_200x200.jpg
Paldean Wooper - 180/091,11.97,https://tcgplayer-cdn.tcgplayer.com/product/535093_in_200x200.jpg
Shroodle - 189/091,2.44,https://tcgplayer-cdn.tcgplayer.com/product/535143_in_200x200.jpg
Varoom - 192/091,2.1,https://tcgplayer-cdn.tcgplayer.com/product/535151_in_200x200.jpg
Revavroom - 193/091,2.16,https://tcgplayer-cdn.tcgplayer.com/product/535153_in_200x200.jpg
Cyclizar - 195/091,2.47,https://tcgplayer-cdn.tcgplayer.com/product/535157_in_200x200.jpg
Lechonk - 207/091,17.32,https://tcgplayer-cdn.tcgplayer.com/product/535213_in_200x200.jpg
Tandemaus - 209/091,27.9,https://tcgplayer-cdn.tcgplayer.com/product/535214_in_200x200.jpg
Forretress ex - 212/091,0.96,https://tcgplayer-cdn.tcgplayer.com/product/535297_in_200x200.jpg
Paldean Clodsire ex - 219/091,2.7,https://tcgplayer-cdn.tcgplayer.com/product/535537_in_200x200.jpg
Noivern ex - 220/091,2.06,https://tcgplayer-cdn.tcgplayer.com/product/535541_in_200x200.jpg
Squawkabilly ex - 223/091,1.51,https://tcgplayer-cdn.tcgplayer.com/product/535654_in_200x200.jpg
Wugtrio - 224/091,2.37,https://tcgplayer-cdn.tcgplayer.com/product/534731_in_200x200.jpg
Palafin - 225/091,2.39,https://tcgplayer-cdn.tcgplayer.com/product/534736_in_200x200.jpg
Pawmi - 226/091,3.53,https://tcgplayer-cdn.tcgplayer.com/product/534739_in_200x200.jpg
Clive - 227/091,0.59,https://tcgplayer-cdn.tcgplayer.com/product/534743_in_200x200.jpg
Gardevoir ex - 233/091,178.18,https://tcgplayer-cdn.tcgplayer.com/product/535085_in_200x200.jpg
Clive - 236/091,24.11,https://tcgplayer-cdn.tcgplayer.com/product/535098_in_200x200.jpg
Iono - 237/091,26.47,https://tcgplayer-cdn.tcgplayer.com/product/535101_in_200x200.jpg
Electric Generator,0.15,https://tcgplayer-cdn.tcgplayer.com/product/534441_in_200x200.jpg
Gimmighoul,0.09,https://tcgplayer-cdn.tcgplayer.com/product/534191_in_200x200.jpg
Clobbopus,0.09,https://tcgplayer-cdn.tcgplayer.com/product/534387_in_200x200.jpg
Wigglytuff ex,2.93,https://tcgplayer-cdn.tcgplayer.com/product/535562_in_200x200.jpg
Exeggutor,0.21,https://tcgplayer-cdn.tcgplayer.com/product/534170_in_200x200.jpg
Greavard,0.06,https://tcgplayer-cdn.tcgplayer.com/product/534188_in_200x200.jpg
Alakazam ex,6.92,https://tcgplayer-cdn.tcgplayer.com/product/535524_in_200x200.jpg
Lanturn,0.04,https://tcgplayer-cdn.tcgplayer.com/product/534167_in_200x200.jpg
Glimmora ex,1.27,https://tcgplayer-cdn.tcgplayer.com/product/535534_in_200x200.jpg
Maractus,0.03,https://tcgplayer-cdn.tcgplayer.com/product/534136_in_200x200.jpg
Swoobat,0.06,https://tcgplayer-cdn.tcgplayer.com/product/534179_in_200x200.jpg
Great Tusk ex,0.59,https://tcgplayer-cdn.tcgplayer.com/product/534415_in_200x200.jpg
Nest Ball,0.21,https://tcgplayer-cdn.tcgplayer.com/product/534446_in_200x200.jpg
Rare Candy,0.23,https://tcgplayer-cdn.tcgplayer.com/product/534451_in_200x200.jpg
Gengar,0.36,https://tcgplayer-cdn.tcgplayer.com/product/534419_in_200x200.jpg
Artazon,0.21,https://tcgplayer-cdn.tcgplayer.com/product/534438_in_200x200.jpg
Grapploct,0.05,https://tcgplayer-cdn.tcgplayer.com/product/534414_in_200x200.jpg
Numel,0.04,https://tcgplayer-cdn.tcgplayer.com/product/534152_in_200x200.jpg
Phanpy,0.09,https://tcgplayer-cdn.tcgplayer.com/product/534198_in_200x200.jpg
Woobat,0.05,https://tcgplayer-cdn.tcgplayer.com/product/534178_in_200x200.jpg
Pidgeot ex,2.86,https://tcgplayer-cdn.tcgplayer.com/product/535559_in_200x200.jpg
Fidough,0.1,https://tcgplayer-cdn.tcgplayer.com/product/534184_in_200x200.jpg
Oinkologne,0.08,https://tcgplayer-cdn.tcgplayer.com/product/534434_in_200x200.jpg
Dondozo,3.51,https://tcgplayer-cdn.tcgplayer.com/product/534517_in_200x200.jpg
Murkrow,3.47,https://tcgplayer-cdn.tcgplayer.com/product/535097_in_200x200.jpg
Pelipper,2.81,https://tcgplayer-cdn.tcgplayer.com/product/535200_in_200x200.jpg
Oricorio,2.58,https://tcgplayer-cdn.tcgplayer.com/product/534494_in_200x200.jpg
Pidgeotto,5.18,https://tcgplayer-cdn.tcgplayer.com/product/535165_in_200x200.jpg
Pawmo,5.33,https://tcgplayer-cdn.tcgplayer.com/product/534579_in_200x200.jpg
Gloom,4.84,https://tcgplayer-cdn.tcgplayer.com/product/534460_in_200x200.jpg
Baxcalibur,4.38,https://tcgplayer-cdn.tcgplayer.com/product/534521_in_200x200.jpg
Dodrio,4.46,https://tcgplayer-cdn.tcgplayer.com/product/535185_in_200x200.jpg
Chi-Yu ex,12.27,https://tcgplayer-cdn.tcgplayer.com/product/535116_in_200x200.jpg
Nemona's Backpack,0.04,https://tcgplayer-cdn.tcgplayer.com/product/534445_in_200x200.jpg
Gholdengo,0.13,https://tcgplayer-cdn.tcgplayer.com/product/534429_in_200x200.jpg
Pidgey,6.83,https://tcgplayer-cdn.tcgplayer.com/product/535163_in_200x200.jpg
Grafaiai,2.18,https://tcgplayer-cdn.tcgplayer.com/product/535145_in_200x200.jpg
Thundurus,2.63,https://tcgplayer-cdn.tcgplayer.com/product/534540_in_200x200.jpg
Pawmot,3.5,https://tcgplayer-cdn.tcgplayer.com/product/534581_in_200x200.jpg
Oddish,10.8,https://tcgplayer-cdn.tcgplayer.com/product/534459_in_200x200.jpg
Slowpoke,19.48,https://tcgplayer-cdn.tcgplayer.com/product/534504_in_200x200.jpg
Riolu,13.41,https://tcgplayer-cdn.tcgplayer.com/product/534749_in_200x200.jpg
Glimmet,2.19,https://tcgplayer-cdn.tcgplayer.com/product/535089_in_200x200.jpg
Entei,12.38,https://tcgplayer-cdn.tcgplayer.com/product/534493_in_200x200.jpg
Hawlucha,7.54,https://tcgplayer-cdn.tcgplayer.com/product/534755_in_200x200.jpg
Klefki,3.51,https://tcgplayer-cdn.tcgplayer.com/product/534681_in_200x200.jpg
