name,marketPrice,imageUrl
Bulbasaur - 001/165,0.23,https://tcgplayer-cdn.tcgplayer.com/product/502552_in_200x200.jpg
Ivysaur - 002/165,0.25,https://tcgplayer-cdn.tcgplayer.com/product/502553_in_200x200.jpg
Venusaur ex - 003/165,1.44,https://tcgplayer-cdn.tcgplayer.com/product/502554_in_200x200.jpg
Charmander - 004/165,0.18,https://tcgplayer-cdn.tcgplayer.com/product/502555_in_200x200.jpg
Charizard ex - 006/165,7.8,https://tcgplayer-cdn.tcgplayer.com/product/502558_in_200x200.jpg
Squirtle - 007/165,0.26,https://tcgplayer-cdn.tcgplayer.com/product/502548_in_200x200.jpg
Wartortle - 008/165,0.25,https://tcgplayer-cdn.tcgplayer.com/product/502550_in_200x200.jpg
Blastoise ex - 009/165,2.66,https://tcgplayer-cdn.tcgplayer.com/product/502551_in_200x200.jpg
Arbok ex - 024/165,1.55,https://tcgplayer-cdn.tcgplayer.com/product/515956_in_200x200.jpg
Pikachu - 025/165,0.26,https://tcgplayer-cdn.tcgplayer.com/product/517033_in_200x200.jpg
Nidoking - 034/165,0.28,https://tcgplayer-cdn.tcgplayer.com/product/516024_in_200x200.jpg
Wigglytuff ex - 040/165,1.3,https://tcgplayer-cdn.tcgplayer.com/product/516145_in_200x200.jpg
Psyduck - 054/165,0.2,https://tcgplayer-cdn.tcgplayer.com/product/516231_in_200x200.jpg
Alakazam ex - 065/165,1.8,https://tcgplayer-cdn.tcgplayer.com/product/516381_in_200x200.jpg
Machoke - 067/165,0.19,https://tcgplayer-cdn.tcgplayer.com/product/516383_in_200x200.jpg
Golem ex - 076/165,1.13,https://tcgplayer-cdn.tcgplayer.com/product/516574_in_200x200.jpg
Kangaskhan ex - 115/165,0.98,https://tcgplayer-cdn.tcgplayer.com/product/516581_in_200x200.jpg
Mr. Mime - 122/165,0.3,https://tcgplayer-cdn.tcgplayer.com/product/516685_in_200x200.jpg
Jynx ex - 124/165,1.35,https://tcgplayer-cdn.tcgplayer.com/product/516687_in_200x200.jpg
Dragonair - 148/165,0.2,https://tcgplayer-cdn.tcgplayer.com/product/516711_in_200x200.jpg
Bill's Transfer - 156/165,0.15,https://tcgplayer-cdn.tcgplayer.com/product/516718_in_200x200.jpg
Daisy's Help - 158/165,0.13,https://tcgplayer-cdn.tcgplayer.com/product/516720_in_200x200.jpg
Erika's Invitation - 160/165,0.17,https://tcgplayer-cdn.tcgplayer.com/product/516722_in_200x200.jpg
Bulbasaur - 166/165,79.57,https://tcgplayer-cdn.tcgplayer.com/product/516997_in_200x200.jpg
Charmeleon - 169/165,59.68,https://tcgplayer-cdn.tcgplayer.com/product/517018_in_200x200.jpg
Squirtle - 170/165,89.92,https://tcgplayer-cdn.tcgplayer.com/product/502549_in_200x200.jpg
Wartortle - 171/165,62.9,https://tcgplayer-cdn.tcgplayer.com/product/517038_in_200x200.jpg
