name,marketPrice,imageUrl
Night Stretcher,3.25,https://tcgplayer-cdn.tcgplayer.com/product/560372_in_200x200.jpg
Code Card - Shrouded Fable Booster Pack,0.07,https://tcgplayer-cdn.tcgplayer.com/product/562361_in_200x200.jpg
Fezandipiti ex - 038/064,16.54,https://tcgplayer-cdn.tcgplayer.com/product/560348_in_200x200.jpg
Sylveon,0.14,https://tcgplayer-cdn.tcgplayer.com/product/560332_in_200x200.jpg
Colress's Tenacity - 057/064,0.13,https://tcgplayer-cdn.tcgplayer.com/product/560368_in_200x200.jpg
Eevee,0.14,https://tcgplayer-cdn.tcgplayer.com/product/560361_in_200x200.jpg
Okidogi ex - 036/064,0.63,https://tcgplayer-cdn.tcgplayer.com/product/560346_in_200x200.jpg
Munkidori ex - 037/064,0.5,https://tcgplayer-cdn.tcgplayer.com/product/560347_in_200x200.jpg
Pecharunt ex - 039/064,0.84,https://tcgplayer-cdn.tcgplayer.com/product/560349_in_200x200.jpg
Kingdra ex - 012/064,0.55,https://tcgplayer-cdn.tcgplayer.com/product/560322_in_200x200.jpg
Dusknoir - 020/064,0.15,https://tcgplayer-cdn.tcgplayer.com/product/560330_in_200x200.jpg
Revavroom ex - 015/064,0.42,https://tcgplayer-cdn.tcgplayer.com/product/560325_in_200x200.jpg
Zoroark,0.14,https://tcgplayer-cdn.tcgplayer.com/product/560342_in_200x200.jpg
Academy at Night,0.08,https://tcgplayer-cdn.tcgplayer.com/product/560365_in_200x200.jpg
Powerglass - 063/064,0.14,https://tcgplayer-cdn.tcgplayer.com/product/560374_in_200x200.jpg
Genesect,0.12,https://tcgplayer-cdn.tcgplayer.com/product/560350_in_200x200.jpg
Varoom,0.03,https://tcgplayer-cdn.tcgplayer.com/product/560353_in_200x200.jpg
Poke Vital A,0.66,https://tcgplayer-cdn.tcgplayer.com/product/560373_in_200x200.jpg
Janine's Secret Art - 059/064,0.08,https://tcgplayer-cdn.tcgplayer.com/product/560370_in_200x200.jpg
Fezandipiti ex - 084/064,19.03,https://tcgplayer-cdn.tcgplayer.com/product/560395_in_200x200.jpg
Haxorus,0.11,https://tcgplayer-cdn.tcgplayer.com/product/560356_in_200x200.jpg
Bloodmoon Ursaluna,0.09,https://tcgplayer-cdn.tcgplayer.com/product/560335_in_200x200.jpg
Kingdra ex - 080/064,2.61,https://tcgplayer-cdn.tcgplayer.com/product/560391_in_200x200.jpg
Slither Wing,0.08,https://tcgplayer-cdn.tcgplayer.com/product/560336_in_200x200.jpg
