name,marketPrice,imageUrl
Nest Ball - 181/198,0.24,https://tcgplayer-cdn.tcgplayer.com/product/488087_in_200x200.jpg
Arven - 166/198,1.98,https://tcgplayer-cdn.tcgplayer.com/product/488071_in_200x200.jpg
Ultra Ball,0.23,https://tcgplayer-cdn.tcgplayer.com/product/488105_in_200x200.jpg
Penny - 183/198,0.13,https://tcgplayer-cdn.tcgplayer.com/product/488089_in_200x200.jpg
Pal Pad,0.22,https://tcgplayer-cdn.tcgplayer.com/product/488088_in_200x200.jpg
Pokegear 3.0,0.36,https://tcgplayer-cdn.tcgplayer.com/product/488092_in_200x200.jpg
Picnic Basket,0.12,https://tcgplayer-cdn.tcgplayer.com/product/488090_in_200x200.jpg
Rare Candy - 191/198,0.12,https://tcgplayer-cdn.tcgplayer.com/product/488098_in_200x200.jpg
Jacq - 175/198,0.11,https://tcgplayer-cdn.tcgplayer.com/product/488080_in_200x200.jpg
Slowbro,0.18,https://tcgplayer-cdn.tcgplayer.com/product/487887_in_200x200.jpg
Vitality Band,0.11,https://tcgplayer-cdn.tcgplayer.com/product/488107_in_200x200.jpg
Exp. Share,0.13,https://tcgplayer-cdn.tcgplayer.com/product/488079_in_200x200.jpg
Switch,0.14,https://tcgplayer-cdn.tcgplayer.com/product/488102_in_200x200.jpg
Gardevoir ex - 086/198,0.87,https://tcgplayer-cdn.tcgplayer.com/product/487951_in_200x200.jpg
Hawlucha,0.23,https://tcgplayer-cdn.tcgplayer.com/product/488007_in_200x200.jpg
Arcanine ex - 032/198,0.66,https://tcgplayer-cdn.tcgplayer.com/product/487872_in_200x200.jpg
Miriam - 179/198,0.11,https://tcgplayer-cdn.tcgplayer.com/product/488085_in_200x200.jpg
Klefki,0.14,https://tcgplayer-cdn.tcgplayer.com/product/486602_in_200x200.jpg
Koraidon ex - 125/198,0.5,https://tcgplayer-cdn.tcgplayer.com/product/475421_in_200x200.jpg
Miraidon,0.1,https://tcgplayer-cdn.tcgplayer.com/product/487942_in_200x200.jpg
Iron Treads ex - 143/198,0.44,https://tcgplayer-cdn.tcgplayer.com/product/485106_in_200x200.jpg
Alomomola,0.09,https://tcgplayer-cdn.tcgplayer.com/product/487894_in_200x200.jpg
Penny - 239/198,3.33,https://tcgplayer-cdn.tcgplayer.com/product/490097_in_200x200.jpg
Nest Ball - 255/198,10.14,https://tcgplayer-cdn.tcgplayer.com/product/490297_in_200x200.jpg
Energy Retrieval,0.14,https://tcgplayer-cdn.tcgplayer.com/product/488076_in_200x200.jpg
Defiance Band,0.13,https://tcgplayer-cdn.tcgplayer.com/product/488074_in_200x200.jpg
Youngster,0.06,https://tcgplayer-cdn.tcgplayer.com/product/488108_in_200x200.jpg
Nemona,0.08,https://tcgplayer-cdn.tcgplayer.com/product/488086_in_200x200.jpg
Magnezone ex - 065/198,0.6,https://tcgplayer-cdn.tcgplayer.com/product/486612_in_200x200.jpg
Banette ex - 088/198,0.6,https://tcgplayer-cdn.tcgplayer.com/product/487954_in_200x200.jpg
Spidops ex - 019/198,0.58,https://tcgplayer-cdn.tcgplayer.com/product/487856_in_200x200.jpg
Oinkologne ex - 158/198,0.49,https://tcgplayer-cdn.tcgplayer.com/product/488053_in_200x200.jpg
Kingambit - 220/198,6.01,https://tcgplayer-cdn.tcgplayer.com/product/490078_in_200x200.jpg
Tarountula - 199/198,6.06,https://tcgplayer-cdn.tcgplayer.com/product/490293_in_200x200.jpg
Wiglett - 206/198,10.31,https://tcgplayer-cdn.tcgplayer.com/product/490067_in_200x200.jpg
Spidops ex - 243/198,6.3,https://tcgplayer-cdn.tcgplayer.com/product/487147_in_200x200.jpg
Iron Treads ex - 248/198,4.2,https://tcgplayer-cdn.tcgplayer.com/product/490291_in_200x200.jpg
Crushing Hammer,0.12,https://tcgplayer-cdn.tcgplayer.com/product/488073_in_200x200.jpg
Skwovet - 151/198,0.1,https://tcgplayer-cdn.tcgplayer.com/product/488041_in_200x200.jpg
Penny - 252/198,6.78,https://tcgplayer-cdn.tcgplayer.com/product/490041_in_200x200.jpg
Great Tusk ex - 123/198,0.56,https://tcgplayer-cdn.tcgplayer.com/product/488012_in_200x200.jpg
Maushold,0.1,https://tcgplayer-cdn.tcgplayer.com/product/488057_in_200x200.jpg
Armarouge - 041/198,0.13,https://tcgplayer-cdn.tcgplayer.com/product/487883_in_200x200.jpg
Rare Candy - 256/198,7.58,https://tcgplayer-cdn.tcgplayer.com/product/490296_in_200x200.jpg
Cyclizar - 164/198,0.12,https://tcgplayer-cdn.tcgplayer.com/product/487059_in_200x200.jpg
Arven - 235/198,8.13,https://tcgplayer-cdn.tcgplayer.com/product/490093_in_200x200.jpg
Gyarados ex - 225/198,5.0,https://tcgplayer-cdn.tcgplayer.com/product/490083_in_200x200.jpg
Klawf - 217/198,3.04,https://tcgplayer-cdn.tcgplayer.com/product/490075_in_200x200.jpg
Skwovet - 222/198,4.77,https://tcgplayer-cdn.tcgplayer.com/product/490080_in_200x200.jpg
Toedscool - 201/198,4.16,https://tcgplayer-cdn.tcgplayer.com/product/490049_in_200x200.jpg
Armarouge - 203/198,13.06,https://tcgplayer-cdn.tcgplayer.com/product/490063_in_200x200.jpg
Gardevoir ex - 228/198,4.32,https://tcgplayer-cdn.tcgplayer.com/product/490086_in_200x200.jpg
Bombirdier - 219/198,3.25,https://tcgplayer-cdn.tcgplayer.com/product/490077_in_200x200.jpg
Starly - 221/198,5.99,https://tcgplayer-cdn.tcgplayer.com/product/490079_in_200x200.jpg
Vivillon,0.09,https://tcgplayer-cdn.tcgplayer.com/product/487842_in_200x200.jpg
Basic Lightning Energy - 257/198,3.96,https://tcgplayer-cdn.tcgplayer.com/product/490295_in_200x200.jpg
Fidough - 213/198,12.49,https://tcgplayer-cdn.tcgplayer.com/product/487086_in_200x200.jpg
Mabosstiff - 218/198,4.46,https://tcgplayer-cdn.tcgplayer.com/product/490076_in_200x200.jpg
Mesagoza - 178/198,0.09,https://tcgplayer-cdn.tcgplayer.com/product/488083_in_200x200.jpg
Professor's Research - 241/198,2.23,https://tcgplayer-cdn.tcgplayer.com/product/490099_in_200x200.jpg
Wugtrio,0.07,https://tcgplayer-cdn.tcgplayer.com/product/487906_in_200x200.jpg
Ralts - 211/198,28.78,https://tcgplayer-cdn.tcgplayer.com/product/490071_in_200x200.jpg
Poke Ball,0.07,https://tcgplayer-cdn.tcgplayer.com/product/488091_in_200x200.jpg
Iron Treads ex - 233/198,1.1,https://tcgplayer-cdn.tcgplayer.com/product/490091_in_200x200.jpg
Scovillain - 202/198,3.3,https://tcgplayer-cdn.tcgplayer.com/product/490062_in_200x200.jpg
Miraidon ex - 227/198,2.73,https://tcgplayer-cdn.tcgplayer.com/product/490085_in_200x200.jpg
Indeedee,0.13,https://tcgplayer-cdn.tcgplayer.com/product/488045_in_200x200.jpg
Slowpoke - 042/198,0.11,https://tcgplayer-cdn.tcgplayer.com/product/487885_in_200x200.jpg
Kirlia - 212/198,26.4,https://tcgplayer-cdn.tcgplayer.com/product/490072_in_200x200.jpg
Starly - 148/198,0.09,https://tcgplayer-cdn.tcgplayer.com/product/488037_in_200x200.jpg
Slowpoke - 204/198,24.85,https://tcgplayer-cdn.tcgplayer.com/product/490064_in_200x200.jpg
Dolliv - 200/198,3.63,https://tcgplayer-cdn.tcgplayer.com/product/486622_in_200x200.jpg
Potion,0.06,https://tcgplayer-cdn.tcgplayer.com/product/488094_in_200x200.jpg
Pawmot - 209/198,4.22,https://tcgplayer-cdn.tcgplayer.com/product/490069_in_200x200.jpg
Arcanine ex - 224/198,7.07,https://tcgplayer-cdn.tcgplayer.com/product/490082_in_200x200.jpg
Arboliva,0.12,https://tcgplayer-cdn.tcgplayer.com/product/487860_in_200x200.jpg
Code Card - Scarlet & Violet Booster Pack,0.03,https://tcgplayer-cdn.tcgplayer.com/product/489924_in_200x200.jpg
Banette ex - 229/198,1.33,https://tcgplayer-cdn.tcgplayer.com/product/490087_in_200x200.jpg
Gardevoir ex - 245/198,58.55,https://tcgplayer-cdn.tcgplayer.com/product/486623_in_200x200.jpg
Jacq - 236/198,2.77,https://tcgplayer-cdn.tcgplayer.com/product/490094_in_200x200.jpg
Great Tusk ex - 230/198,1.06,https://tcgplayer-cdn.tcgplayer.com/product/490088_in_200x200.jpg
Dachsbun,0.11,https://tcgplayer-cdn.tcgplayer.com/product/487971_in_200x200.jpg
Stonjourner,0.07,https://tcgplayer-cdn.tcgplayer.com/product/488010_in_200x200.jpg
Team Star Grunt - 242/198,1.29,https://tcgplayer-cdn.tcgplayer.com/product/487149_in_200x200.jpg
Rocky Helmet,0.11,https://tcgplayer-cdn.tcgplayer.com/product/488100_in_200x200.jpg
