name,marketPrice,imageUrl
Super Rod - 188/193,0.24,https://tcgplayer-cdn.tcgplayer.com/product/497560_in_200x200.jpg
Iono - 185/193,0.29,https://tcgplayer-cdn.tcgplayer.com/product/497557_in_200x200.jpg
Jet Energy,0.22,https://tcgplayer-cdn.tcgplayer.com/product/497563_in_200x200.jpg
Luminous Energy,0.69,https://tcgplayer-cdn.tcgplayer.com/product/497564_in_200x200.jpg
Bravery Charm,0.8,https://tcgplayer-cdn.tcgplayer.com/product/497545_in_200x200.jpg
Superior Energy Retrieval - 189/193,0.51,https://tcgplayer-cdn.tcgplayer.com/product/497562_in_200x200.jpg
Dunsparce,0.16,https://tcgplayer-cdn.tcgplayer.com/product/497574_in_200x200.jpg
Artazon,0.16,https://tcgplayer-cdn.tcgplayer.com/product/497541_in_200x200.jpg
Great Ball,0.07,https://tcgplayer-cdn.tcgplayer.com/product/497555_in_200x200.jpg
Calamitous Snowy Mountain,0.12,https://tcgplayer-cdn.tcgplayer.com/product/497546_in_200x200.jpg
Boss's Orders - 172/193,0.66,https://tcgplayer-cdn.tcgplayer.com/product/497544_in_200x200.jpg
Reversal Energy,0.17,https://tcgplayer-cdn.tcgplayer.com/product/497565_in_200x200.jpg
Code Card - Paldea Evolved Booster Pack,0.03,https://tcgplayer-cdn.tcgplayer.com/product/498831_in_200x200.jpg
Pikachu,0.17,https://tcgplayer-cdn.tcgplayer.com/product/497473_in_200x200.jpg
Magikarp - 042/193,0.11,https://tcgplayer-cdn.tcgplayer.com/product/497453_in_200x200.jpg
Ting-Lu ex,0.59,https://tcgplayer-cdn.tcgplayer.com/product/497543_in_200x200.jpg
Squawkabilly ex,0.72,https://tcgplayer-cdn.tcgplayer.com/product/497590_in_200x200.jpg
Slaking,0.12,https://tcgplayer-cdn.tcgplayer.com/product/497580_in_200x200.jpg
Chien-Pao ex - 061/193,1.1,https://tcgplayer-cdn.tcgplayer.com/product/497472_in_200x200.jpg
Tandemaus - 166/193,0.19,https://tcgplayer-cdn.tcgplayer.com/product/497585_in_200x200.jpg
Paldean Clodsire ex,0.62,https://tcgplayer-cdn.tcgplayer.com/product/497589_in_200x200.jpg
Forretress ex - 005/193,0.62,https://tcgplayer-cdn.tcgplayer.com/product/497416_in_200x200.jpg
Quaquaval ex - 260/193,11.07,https://tcgplayer-cdn.tcgplayer.com/product/497679_in_200x200.jpg
Fighting Au Lait,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497553_in_200x200.jpg
Wo-Chien ex - 027/193,0.66,https://tcgplayer-cdn.tcgplayer.com/product/497438_in_200x200.jpg
Baxcalibur - 060/193,0.18,https://tcgplayer-cdn.tcgplayer.com/product/497471_in_200x200.jpg
Quaquaval ex - 052/193,0.7,https://tcgplayer-cdn.tcgplayer.com/product/497463_in_200x200.jpg
Meowscarada ex - 015/193,0.69,https://tcgplayer-cdn.tcgplayer.com/product/497426_in_200x200.jpg
Bellibolt ex - 079/193,0.66,https://tcgplayer-cdn.tcgplayer.com/product/497490_in_200x200.jpg
Chi-Yu ex - 040/193,0.67,https://tcgplayer-cdn.tcgplayer.com/product/497451_in_200x200.jpg
Veluza - 056/193,0.09,https://tcgplayer-cdn.tcgplayer.com/product/497467_in_200x200.jpg
Ting-Lu ex - 275/193,2.9,https://tcgplayer-cdn.tcgplayer.com/product/497696_in_200x200.jpg
Slowpoke,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497499_in_200x200.jpg
Lycanroc ex,0.84,https://tcgplayer-cdn.tcgplayer.com/product/497532_in_200x200.jpg
Tinkaton,0.2,https://tcgplayer-cdn.tcgplayer.com/product/497520_in_200x200.jpg
Hydreigon,0.13,https://tcgplayer-cdn.tcgplayer.com/product/497645_in_200x200.jpg
Slowking ex - 086/193,0.85,https://tcgplayer-cdn.tcgplayer.com/product/497500_in_200x200.jpg
Palossand,0.1,https://tcgplayer-cdn.tcgplayer.com/product/497511_in_200x200.jpg
Spiritomb,0.15,https://tcgplayer-cdn.tcgplayer.com/product/497504_in_200x200.jpg
Frigibax - 208/193,11.68,https://tcgplayer-cdn.tcgplayer.com/product/497611_in_200x200.jpg
Orthworm,0.13,https://tcgplayer-cdn.tcgplayer.com/product/497569_in_200x200.jpg
Luxray,0.11,https://tcgplayer-cdn.tcgplayer.com/product/497482_in_200x200.jpg
Chien-Pao ex - 261/193,22.49,https://tcgplayer-cdn.tcgplayer.com/product/497680_in_200x200.jpg
Quaquaval ex - 235/193,1.94,https://tcgplayer-cdn.tcgplayer.com/product/497641_in_200x200.jpg
Calamitous Wasteland,0.12,https://tcgplayer-cdn.tcgplayer.com/product/497547_in_200x200.jpg
Pincurchin - 072/193,0.06,https://tcgplayer-cdn.tcgplayer.com/product/497483_in_200x200.jpg
Flamigo - 227/193,5.88,https://tcgplayer-cdn.tcgplayer.com/product/497630_in_200x200.jpg
Quaxly - 206/193,9.71,https://tcgplayer-cdn.tcgplayer.com/product/497609_in_200x200.jpg
Marill - 044/193,0.06,https://tcgplayer-cdn.tcgplayer.com/product/497455_in_200x200.jpg
Farigiraf - 228/193,7.19,https://tcgplayer-cdn.tcgplayer.com/product/497631_in_200x200.jpg
Pawmo,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497486_in_200x200.jpg
Saguaro - 255/193,1.09,https://tcgplayer-cdn.tcgplayer.com/product/497670_in_200x200.jpg
Paldean Wooper - 221/193,8.57,https://tcgplayer-cdn.tcgplayer.com/product/497624_in_200x200.jpg
Wigglytuff,0.14,https://tcgplayer-cdn.tcgplayer.com/product/497498_in_200x200.jpg
Charcadet - 039/193,0.09,https://tcgplayer-cdn.tcgplayer.com/product/497450_in_200x200.jpg
Tinkatink - 102/193,0.09,https://tcgplayer-cdn.tcgplayer.com/product/497517_in_200x200.jpg
Dendra - 250/193,1.77,https://tcgplayer-cdn.tcgplayer.com/product/497665_in_200x200.jpg
Ting-Lu ex - 263/193,10.35,https://tcgplayer-cdn.tcgplayer.com/product/497682_in_200x200.jpg
Pawmi,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497485_in_200x200.jpg
Ceruledge,0.18,https://tcgplayer-cdn.tcgplayer.com/product/497513_in_200x200.jpg
Bellibolt ex - 237/193,2.79,https://tcgplayer-cdn.tcgplayer.com/product/497644_in_200x200.jpg
Girafarig,0.07,https://tcgplayer-cdn.tcgplayer.com/product/497572_in_200x200.jpg
Sprigatito - 196/193,24.78,https://tcgplayer-cdn.tcgplayer.com/product/497599_in_200x200.jpg
Boss's Orders - 265/193,14.45,https://tcgplayer-cdn.tcgplayer.com/product/497685_in_200x200.jpg
Tinkatink - 216/193,13.65,https://tcgplayer-cdn.tcgplayer.com/product/497619_in_200x200.jpg
Dudunsparce,0.05,https://tcgplayer-cdn.tcgplayer.com/product/497575_in_200x200.jpg
Gothita,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497505_in_200x200.jpg
Clavell - 249/193,0.91,https://tcgplayer-cdn.tcgplayer.com/product/497664_in_200x200.jpg
Hariyama,0.12,https://tcgplayer-cdn.tcgplayer.com/product/497528_in_200x200.jpg
Grusha - 184/193,0.06,https://tcgplayer-cdn.tcgplayer.com/product/497556_in_200x200.jpg
Slowking ex - 238/193,3.14,https://tcgplayer-cdn.tcgplayer.com/product/497646_in_200x200.jpg
Falkner - 251/193,1.33,https://tcgplayer-cdn.tcgplayer.com/product/497666_in_200x200.jpg
Grusha - 253/193,2.93,https://tcgplayer-cdn.tcgplayer.com/product/497668_in_200x200.jpg
Squawkabilly ex - 264/193,10.09,https://tcgplayer-cdn.tcgplayer.com/product/497684_in_200x200.jpg
Zweilous,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497643_in_200x200.jpg
Basic Water Energy - 279/193,6.32,https://tcgplayer-cdn.tcgplayer.com/product/497701_in_200x200.jpg
Heracross - 194/193,19.0,https://tcgplayer-cdn.tcgplayer.com/product/497597_in_200x200.jpg
Flamigo,0.11,https://tcgplayer-cdn.tcgplayer.com/product/497591_in_200x200.jpg
Chi-Yu ex - 234/193,2.31,https://tcgplayer-cdn.tcgplayer.com/product/497640_in_200x200.jpg
Giacomo,0.05,https://tcgplayer-cdn.tcgplayer.com/product/497554_in_200x200.jpg
Falkner - 180/193,0.09,https://tcgplayer-cdn.tcgplayer.com/product/497552_in_200x200.jpg
Grafaiai - 223/193,5.29,https://tcgplayer-cdn.tcgplayer.com/product/497626_in_200x200.jpg
Murkrow,0.09,https://tcgplayer-cdn.tcgplayer.com/product/497592_in_200x200.jpg
Quaquaval ex - 273/193,3.98,https://tcgplayer-cdn.tcgplayer.com/product/497694_in_200x200.jpg
Sandygast - 214/193,6.47,https://tcgplayer-cdn.tcgplayer.com/product/497617_in_200x200.jpg
Jumpluff,0.1,https://tcgplayer-cdn.tcgplayer.com/product/497414_in_200x200.jpg
Tropius - 195/193,7.89,https://tcgplayer-cdn.tcgplayer.com/product/497598_in_200x200.jpg
Paldean Tauros - 218/193,10.09,https://tcgplayer-cdn.tcgplayer.com/product/497621_in_200x200.jpg
Choice Belt,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497548_in_200x200.jpg
Gothorita - 091/193,0.09,https://tcgplayer-cdn.tcgplayer.com/product/497506_in_200x200.jpg
Dudunsparce - 229/193,6.22,https://tcgplayer-cdn.tcgplayer.com/product/497633_in_200x200.jpg
Floragato - 014/193,0.12,https://tcgplayer-cdn.tcgplayer.com/product/497425_in_200x200.jpg
Meowscarada ex - 256/193,18.26,https://tcgplayer-cdn.tcgplayer.com/product/497675_in_200x200.jpg
Delibird,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497457_in_200x200.jpg
Wattrel - 080/193,0.09,https://tcgplayer-cdn.tcgplayer.com/product/497491_in_200x200.jpg
Gothitelle,0.1,https://tcgplayer-cdn.tcgplayer.com/product/497507_in_200x200.jpg
Pyroar - 200/193,8.1,https://tcgplayer-cdn.tcgplayer.com/product/497603_in_200x200.jpg
Sudowoodo - 219/193,14.04,https://tcgplayer-cdn.tcgplayer.com/product/497622_in_200x200.jpg
Squawkabilly ex - 247/193,2.03,https://tcgplayer-cdn.tcgplayer.com/product/497658_in_200x200.jpg
Nacli - 220/193,4.54,https://tcgplayer-cdn.tcgplayer.com/product/497623_in_200x200.jpg
Marill - 204/193,27.71,https://tcgplayer-cdn.tcgplayer.com/product/497607_in_200x200.jpg
Tinkatuff - 104/193,0.14,https://tcgplayer-cdn.tcgplayer.com/product/497519_in_200x200.jpg
Chien-Pao ex - 274/193,5.54,https://tcgplayer-cdn.tcgplayer.com/product/497695_in_200x200.jpg
Sprigatito - 012/193,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497423_in_200x200.jpg
Saguaro,0.08,https://tcgplayer-cdn.tcgplayer.com/product/497559_in_200x200.jpg
