name,marketPrice,imageUrl
Arven,3.89,https://tcgplayer-cdn.tcgplayer.com/product/509778_in_200x200.jpg
Code Card - Obsidian Flames Booster Pack,0.04,https://tcgplayer-cdn.tcgplayer.com/product/510902_in_200x200.jpg
Entei,0.13,https://tcgplayer-cdn.tcgplayer.com/product/509725_in_200x200.jpg
Cleffa,0.37,https://tcgplayer-cdn.tcgplayer.com/product/509809_in_200x200.jpg
Togepi,0.08,https://tcgplayer-cdn.tcgplayer.com/product/509825_in_200x200.jpg
Scizor,0.12,https://tcgplayer-cdn.tcgplayer.com/product/509919_in_200x200.jpg
Pidgeot ex,2.27,https://tcgplayer-cdn.tcgplayer.com/product/509670_in_200x200.jpg
Charizard ex - 125/197,4.07,https://tcgplayer-cdn.tcgplayer.com/product/509879_in_200x200.jpg
Basic Fire Energy - 230/197,3.56,https://tcgplayer-cdn.tcgplayer.com/product/509992_in_200x200.jpg
Town Store,0.15,https://tcgplayer-cdn.tcgplayer.com/product/509788_in_200x200.jpg
Pidgey,0.09,https://tcgplayer-cdn.tcgplayer.com/product/509666_in_200x200.jpg
Pidgeot ex - 225/197,13.12,https://tcgplayer-cdn.tcgplayer.com/product/509983_in_200x200.jpg
Pawmot ex,0.58,https://tcgplayer-cdn.tcgplayer.com/product/509846_in_200x200.jpg
Gloom - 198/197,11.62,https://tcgplayer-cdn.tcgplayer.com/product/509944_in_200x200.jpg
Ninetales -199/197,22.41,https://tcgplayer-cdn.tcgplayer.com/product/509945_in_200x200.jpg
Larvitar - 203/197,2.8,https://tcgplayer-cdn.tcgplayer.com/product/509950_in_200x200.jpg
Houndour - 204/197,6.23,https://tcgplayer-cdn.tcgplayer.com/product/509951_in_200x200.jpg
Artazon - 229/197,2.38,https://tcgplayer-cdn.tcgplayer.com/product/509990_in_200x200.jpg
Umbreon,0.23,https://tcgplayer-cdn.tcgplayer.com/product/509888_in_200x200.jpg
Revavroom ex - 224/197,3.48,https://tcgplayer-cdn.tcgplayer.com/product/509982_in_200x200.jpg
Varoom - 206/197,1.68,https://tcgplayer-cdn.tcgplayer.com/product/509954_in_200x200.jpg
Pidgeot ex - 217/197,2.17,https://tcgplayer-cdn.tcgplayer.com/product/509966_in_200x200.jpg
Charizard ex - 215/197,12.88,https://tcgplayer-cdn.tcgplayer.com/product/509963_in_200x200.jpg
Palafin - 200/197,2.58,https://tcgplayer-cdn.tcgplayer.com/product/509946_in_200x200.jpg
Geeta - 226/197,2.59,https://tcgplayer-cdn.tcgplayer.com/product/509986_in_200x200.jpg
Tyranitar ex,0.82,https://tcgplayer-cdn.tcgplayer.com/product/509831_in_200x200.jpg
Absol ex - 214/197,1.81,https://tcgplayer-cdn.tcgplayer.com/product/509964_in_200x200.jpg
Espeon,0.16,https://tcgplayer-cdn.tcgplayer.com/product/509848_in_200x200.jpg
Eiscue ex - 222/197,4.23,https://tcgplayer-cdn.tcgplayer.com/product/509979_in_200x200.jpg
Tyranitar ex - 211/197,3.18,https://tcgplayer-cdn.tcgplayer.com/product/509960_in_200x200.jpg
Greedent ex,0.7,https://tcgplayer-cdn.tcgplayer.com/product/509759_in_200x200.jpg
Pidgeotto,0.09,https://tcgplayer-cdn.tcgplayer.com/product/509669_in_200x200.jpg
Togekiss,0.1,https://tcgplayer-cdn.tcgplayer.com/product/509840_in_200x200.jpg
Eiscue ex,0.71,https://tcgplayer-cdn.tcgplayer.com/product/509753_in_200x200.jpg
Eevee,0.11,https://tcgplayer-cdn.tcgplayer.com/product/509689_in_200x200.jpg
Froakie,0.07,https://tcgplayer-cdn.tcgplayer.com/product/509803_in_200x200.jpg
Ninetales,0.1,https://tcgplayer-cdn.tcgplayer.com/product/509724_in_200x200.jpg
Poppy - 220/197,1.17,https://tcgplayer-cdn.tcgplayer.com/product/509973_in_200x200.jpg
Darkrai,0.08,https://tcgplayer-cdn.tcgplayer.com/product/509900_in_200x200.jpg
Glimmora ex - 213/197,0.92,https://tcgplayer-cdn.tcgplayer.com/product/509962_in_200x200.jpg
Revavroom ex - 216/197,0.87,https://tcgplayer-cdn.tcgplayer.com/product/509965_in_200x200.jpg
Victini ex,0.73,https://tcgplayer-cdn.tcgplayer.com/product/509731_in_200x200.jpg
Pokemon League Headquarters,0.14,https://tcgplayer-cdn.tcgplayer.com/product/509784_in_200x200.jpg
Charmeleon,0.11,https://tcgplayer-cdn.tcgplayer.com/product/509708_in_200x200.jpg
Ryme - 221/197,0.98,https://tcgplayer-cdn.tcgplayer.com/product/509975_in_200x200.jpg
Paldean Wooper - 126/197,0.09,https://tcgplayer-cdn.tcgplayer.com/product/509880_in_200x200.jpg
Palafin,0.07,https://tcgplayer-cdn.tcgplayer.com/product/509819_in_200x200.jpg
Clefairy,0.12,https://tcgplayer-cdn.tcgplayer.com/product/509811_in_200x200.jpg
Paldean Clodsire - 129/197,0.11,https://tcgplayer-cdn.tcgplayer.com/product/509887_in_200x200.jpg
Koraidon ex,0.74,https://tcgplayer-cdn.tcgplayer.com/product/509878_in_200x200.jpg
Miraidon ex,0.77,https://tcgplayer-cdn.tcgplayer.com/product/509864_in_200x200.jpg
