name,marketPrice,imageUrl
Counter Catcher,2.04,https://tcgplayer-cdn.tcgplayer.com/product/523841_in_200x200.jpg
Technical Machine: Evolution,0.46,https://tcgplayer-cdn.tcgplayer.com/product/523859_in_200x200.jpg
Earthen Vessel,0.26,https://tcgplayer-cdn.tcgplayer.com/product/523844_in_200x200.jpg
Code Card - Paradox Rift Booster Pack,0.03,https://tcgplayer-cdn.tcgplayer.com/product/525635_in_200x200.jpg
Technical Machine: Devolution,0.22,https://tcgplayer-cdn.tcgplayer.com/product/523858_in_200x200.jpg
Gholdengo ex - 139/182,13.15,https://tcgplayer-cdn.tcgplayer.com/product/523818_in_200x200.jpg
Luxurious Cape,0.17,https://tcgplayer-cdn.tcgplayer.com/product/523847_in_200x200.jpg
Chi-Yu,0.13,https://tcgplayer-cdn.tcgplayer.com/product/523638_in_200x200.jpg
Iron Bundle,0.13,https://tcgplayer-cdn.tcgplayer.com/product/523666_in_200x200.jpg
Maushold ex,0.81,https://tcgplayer-cdn.tcgplayer.com/product/523836_in_200x200.jpg
Technical Machine: Turbo Energize,0.15,https://tcgplayer-cdn.tcgplayer.com/product/523860_in_200x200.jpg
Bombirdier ex,0.64,https://tcgplayer-cdn.tcgplayer.com/product/523837_in_200x200.jpg
Tsareena ex - 046/182,0.68,https://tcgplayer-cdn.tcgplayer.com/product/523655_in_200x200.jpg
Hoopa ex,0.7,https://tcgplayer-cdn.tcgplayer.com/product/523768_in_200x200.jpg
Mewtwo ex,1.66,https://tcgplayer-cdn.tcgplayer.com/product/523670_in_200x200.jpg
Froslass ex - 003/182,0.57,https://tcgplayer-cdn.tcgplayer.com/product/523587_in_200x200.jpg
Snorlax Doll,0.14,https://tcgplayer-cdn.tcgplayer.com/product/523856_in_200x200.jpg
Sandy Shocks ex - 108/182,0.67,https://tcgplayer-cdn.tcgplayer.com/product/523780_in_200x200.jpg
Skeledirge ex,0.73,https://tcgplayer-cdn.tcgplayer.com/product/523816_in_200x200.jpg
Toxtricity ex,0.67,https://tcgplayer-cdn.tcgplayer.com/product/523770_in_200x200.jpg
Iron Hands ex - 070/182,2.07,https://tcgplayer-cdn.tcgplayer.com/product/523706_in_200x200.jpg
Wiglett - 052/182,0.1,https://tcgplayer-cdn.tcgplayer.com/product/523662_in_200x200.jpg
Professor Turo's Scenario,0.12,https://tcgplayer-cdn.tcgplayer.com/product/523852_in_200x200.jpg
Tandemaus - 153/182,0.11,https://tcgplayer-cdn.tcgplayer.com/product/523834_in_200x200.jpg
Cofagrigus ex,0.64,https://tcgplayer-cdn.tcgplayer.com/product/523736_in_200x200.jpg
Armarouge ex,0.67,https://tcgplayer-cdn.tcgplayer.com/product/523636_in_200x200.jpg
Zubat,0.04,https://tcgplayer-cdn.tcgplayer.com/product/523783_in_200x200.jpg
Iron Valiant ex - 089/182,0.67,https://tcgplayer-cdn.tcgplayer.com/product/523756_in_200x200.jpg
