name,marketPrice,imageUrl
Code Card - Twilight Masquerade Booster Pack,0.04,https://tcgplayer-cdn.tcgplayer.com/product/552698_in_200x200.jpg
Munkidori,0.66,https://tcgplayer-cdn.tcgplayer.com/product/550139_in_200x200.jpg
Teal Mask Ogerpon ex - 025/167,1.93,https://tcgplayer-cdn.tcgplayer.com/product/550069_in_200x200.jpg
Jamming Tower,0.24,https://tcgplayer-cdn.tcgplayer.com/product/550197_in_200x200.jpg
Dragapult ex - 130/167,1.59,https://tcgplayer-cdn.tcgplayer.com/product/550174_in_200x200.jpg
Greninja ex - 106/167,1.16,https://tcgplayer-cdn.tcgplayer.com/product/550150_in_200x200.jpg
Secret Box,13.89,https://tcgplayer-cdn.tcgplayer.com/product/550207_in_200x200.jpg
Conkeldurr,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550149_in_200x200.jpg
Dreepy,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550172_in_200x200.jpg
Bloodmoon Ursaluna ex - 141/167,2.36,https://tcgplayer-cdn.tcgplayer.com/product/550185_in_200x200.jpg
Eevee - 135/167,0.18,https://tcgplayer-cdn.tcgplayer.com/product/550179_in_200x200.jpg
Drakloak,0.17,https://tcgplayer-cdn.tcgplayer.com/product/550173_in_200x200.jpg
Froslass - 053/167,0.18,https://tcgplayer-cdn.tcgplayer.com/product/550097_in_200x200.jpg
Luxray ex - 068/167,0.66,https://tcgplayer-cdn.tcgplayer.com/product/550112_in_200x200.jpg
Snorunt,0.1,https://tcgplayer-cdn.tcgplayer.com/product/550095_in_200x200.jpg
Iron Thorns ex - 077/167,0.59,https://tcgplayer-cdn.tcgplayer.com/product/550121_in_200x200.jpg
Sinistcha ex - 023/167,0.61,https://tcgplayer-cdn.tcgplayer.com/product/550067_in_200x200.jpg
Legacy Energy,0.97,https://tcgplayer-cdn.tcgplayer.com/product/550211_in_200x200.jpg
Bug Catching Set,0.16,https://tcgplayer-cdn.tcgplayer.com/product/550187_in_200x200.jpg
Wellspring Mask Ogerpon ex - 064/167,0.86,https://tcgplayer-cdn.tcgplayer.com/product/550108_in_200x200.jpg
Blissey ex - 134/167,0.69,https://tcgplayer-cdn.tcgplayer.com/product/550178_in_200x200.jpg
Chimecho - 179/167,3.2,https://tcgplayer-cdn.tcgplayer.com/product/550223_in_200x200.jpg
Glaceon,0.14,https://tcgplayer-cdn.tcgplayer.com/product/550098_in_200x200.jpg
Scoop Up Cyclone,0.36,https://tcgplayer-cdn.tcgplayer.com/product/550206_in_200x200.jpg
Handheld Fan,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550194_in_200x200.jpg
Survival Brace,0.42,https://tcgplayer-cdn.tcgplayer.com/product/550208_in_200x200.jpg
Snorlax,0.11,https://tcgplayer-cdn.tcgplayer.com/product/550180_in_200x200.jpg
Carmine - 145/167,0.1,https://tcgplayer-cdn.tcgplayer.com/product/550189_in_200x200.jpg
Leafeon,0.18,https://tcgplayer-cdn.tcgplayer.com/product/550055_in_200x200.jpg
Chansey - 187/167,28.48,https://tcgplayer-cdn.tcgplayer.com/product/550231_in_200x200.jpg
Timburr - 183/167,4.3,https://tcgplayer-cdn.tcgplayer.com/product/550227_in_200x200.jpg
Torkoal - 172/167,4.23,https://tcgplayer-cdn.tcgplayer.com/product/550216_in_200x200.jpg
Lairon - 184/167,4.17,https://tcgplayer-cdn.tcgplayer.com/product/550228_in_200x200.jpg
Thwackey,0.14,https://tcgplayer-cdn.tcgplayer.com/product/550059_in_200x200.jpg
Poltchageist - 171/167,3.53,https://tcgplayer-cdn.tcgplayer.com/product/550215_in_200x200.jpg
Dipplin - 170/167,5.73,https://tcgplayer-cdn.tcgplayer.com/product/550214_in_200x200.jpg
Applin - 185/167,5.63,https://tcgplayer-cdn.tcgplayer.com/product/550229_in_200x200.jpg
Froslass - 174/167,7.01,https://tcgplayer-cdn.tcgplayer.com/product/550218_in_200x200.jpg
Probopass - 182/167,3.04,https://tcgplayer-cdn.tcgplayer.com/product/550226_in_200x200.jpg
Frogadier,0.13,https://tcgplayer-cdn.tcgplayer.com/product/550101_in_200x200.jpg
Teal Mask Ogerpon ex - 190/167,4.16,https://tcgplayer-cdn.tcgplayer.com/product/550234_in_200x200.jpg
Heatran,0.1,https://tcgplayer-cdn.tcgplayer.com/product/550167_in_200x200.jpg
Wattrel - 178/167,3.24,https://tcgplayer-cdn.tcgplayer.com/product/550222_in_200x200.jpg
Poliwag,0.07,https://tcgplayer-cdn.tcgplayer.com/product/550085_in_200x200.jpg
Carmine - 204/167,5.04,https://tcgplayer-cdn.tcgplayer.com/product/550248_in_200x200.jpg
Heliolisk - 177/167,3.5,https://tcgplayer-cdn.tcgplayer.com/product/550221_in_200x200.jpg
Boomerang Energy,0.11,https://tcgplayer-cdn.tcgplayer.com/product/550210_in_200x200.jpg
Eevee - 188/167,69.82,https://tcgplayer-cdn.tcgplayer.com/product/550232_in_200x200.jpg
Perrin - 209/167,4.05,https://tcgplayer-cdn.tcgplayer.com/product/550253_in_200x200.jpg
Kadabra,0.15,https://tcgplayer-cdn.tcgplayer.com/product/550125_in_200x200.jpg
Love Ball,0.13,https://tcgplayer-cdn.tcgplayer.com/product/550200_in_200x200.jpg
Applin - 017/167,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550061_in_200x200.jpg
Finizen,0.05,https://tcgplayer-cdn.tcgplayer.com/product/550103_in_200x200.jpg
Infernape - 173/167,11.1,https://tcgplayer-cdn.tcgplayer.com/product/550217_in_200x200.jpg
Gurdurr,0.06,https://tcgplayer-cdn.tcgplayer.com/product/550148_in_200x200.jpg
Vulpix,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550070_in_200x200.jpg
Tatsugiri - 186/167,21.85,https://tcgplayer-cdn.tcgplayer.com/product/550230_in_200x200.jpg
Dragapult ex - 200/167,9.94,https://tcgplayer-cdn.tcgplayer.com/product/550244_in_200x200.jpg
Fezandipiti,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550140_in_200x200.jpg
Pinsir - 168/167,8.98,https://tcgplayer-cdn.tcgplayer.com/product/550212_in_200x200.jpg
Iron Thorns ex - 196/167,2.41,https://tcgplayer-cdn.tcgplayer.com/product/550240_in_200x200.jpg
Caretaker - 203/167,0.86,https://tcgplayer-cdn.tcgplayer.com/product/550247_in_200x200.jpg
Ting-Lu,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550154_in_200x200.jpg
Teal Mask Ogerpon ex - 221/167,7.51,https://tcgplayer-cdn.tcgplayer.com/product/550265_in_200x200.jpg
Lana's Aid - 207/167,3.58,https://tcgplayer-cdn.tcgplayer.com/product/550251_in_200x200.jpg
Helioptile,0.04,https://tcgplayer-cdn.tcgplayer.com/product/550114_in_200x200.jpg
Palafin,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550104_in_200x200.jpg
Kieran - 154/167,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550198_in_200x200.jpg
Venipede,0.12,https://tcgplayer-cdn.tcgplayer.com/product/550159_in_200x200.jpg
Kieran - 206/167,2.21,https://tcgplayer-cdn.tcgplayer.com/product/550250_in_200x200.jpg
Blissey ex - 201/167,3.25,https://tcgplayer-cdn.tcgplayer.com/product/550245_in_200x200.jpg
Lucian - 208/167,0.98,https://tcgplayer-cdn.tcgplayer.com/product/550252_in_200x200.jpg
Morpeko,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550116_in_200x200.jpg
Buddy-Buddy Poffin,18.76,https://tcgplayer-cdn.tcgplayer.com/product/550267_in_200x200.jpg
Girafarig,0.07,https://tcgplayer-cdn.tcgplayer.com/product/550127_in_200x200.jpg
Enamorus - 093/167,0.12,https://tcgplayer-cdn.tcgplayer.com/product/550137_in_200x200.jpg
Lucian - 157/167,0.05,https://tcgplayer-cdn.tcgplayer.com/product/550201_in_200x200.jpg
Chi-Yu,0.11,https://tcgplayer-cdn.tcgplayer.com/product/550083_in_200x200.jpg
Perrin - 160/167,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550204_in_200x200.jpg
Poliwhirl,0.1,https://tcgplayer-cdn.tcgplayer.com/product/550086_in_200x200.jpg
Festival Grounds,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550193_in_200x200.jpg
Applin - 126/167,0.06,https://tcgplayer-cdn.tcgplayer.com/product/550170_in_200x200.jpg
Wattrel - 075/167,0.06,https://tcgplayer-cdn.tcgplayer.com/product/550119_in_200x200.jpg
Teal Mask Ogerpon,0.11,https://tcgplayer-cdn.tcgplayer.com/product/550068_in_200x200.jpg
Accompanying Flute,0.07,https://tcgplayer-cdn.tcgplayer.com/product/550186_in_200x200.jpg
Poltchageist - 020/167,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550064_in_200x200.jpg
Hearthflame Mask Ogerpon ex - 192/167,2.12,https://tcgplayer-cdn.tcgplayer.com/product/550236_in_200x200.jpg
Brute Bonnet,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550162_in_200x200.jpg
Hisuian Growlithe - 099/167,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550143_in_200x200.jpg
Ninetales,0.15,https://tcgplayer-cdn.tcgplayer.com/product/550071_in_200x200.jpg
Clefairy,0.07,https://tcgplayer-cdn.tcgplayer.com/product/550122_in_200x200.jpg
Rillaboom,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550060_in_200x200.jpg
Hawlucha,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550151_in_200x200.jpg
Spinarak,0.05,https://tcgplayer-cdn.tcgplayer.com/product/550048_in_200x200.jpg
Poliwrath,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550087_in_200x200.jpg
Whirlipede,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550160_in_200x200.jpg
Chimecho - 085/167,0.07,https://tcgplayer-cdn.tcgplayer.com/product/550129_in_200x200.jpg
Chimchar,0.05,https://tcgplayer-cdn.tcgplayer.com/product/550075_in_200x200.jpg
Illumise,0.08,https://tcgplayer-cdn.tcgplayer.com/product/550054_in_200x200.jpg
Flabebe,0.05,https://tcgplayer-cdn.tcgplayer.com/product/550130_in_200x200.jpg
Farigiraf,0.09,https://tcgplayer-cdn.tcgplayer.com/product/550128_in_200x200.jpg
Rescue Board,4.65,https://tcgplayer-cdn.tcgplayer.com/product/550269_in_200x200.jpg
Monferno,0.06,https://tcgplayer-cdn.tcgplayer.com/product/550076_in_200x200.jpg
