name,marketPrice,imageUrl
Code Card - Stellar Crown Booster Pack,0.04,https://tcgplayer-cdn.tcgplayer.com/product/580328_in_200x200.jpg
Hoothoot,0.32,https://tcgplayer-cdn.tcgplayer.com/product/567340_in_200x200.jpg
Crispin - 133/142,0.22,https://tcgplayer-cdn.tcgplayer.com/product/567390_in_200x200.jpg
Joltik - 050/142,0.15,https://tcgplayer-cdn.tcgplayer.com/product/567276_in_200x200.jpg
Mewtwo,0.15,https://tcgplayer-cdn.tcgplayer.com/product/567285_in_200x200.jpg
Raging Bolt,0.19,https://tcgplayer-cdn.tcgplayer.com/product/567337_in_200x200.jpg
Noctowl,0.25,https://tcgplayer-cdn.tcgplayer.com/product/567341_in_200x200.jpg
Grand Tree,0.51,https://tcgplayer-cdn.tcgplayer.com/product/567397_in_200x200.jpg
Deluxe Bomb,0.39,https://tcgplayer-cdn.tcgplayer.com/product/567392_in_200x200.jpg
Area Zero Underdepths - 131/142,0.08,https://tcgplayer-cdn.tcgplayer.com/product/567384_in_200x200.jpg
Venusaur ex,0.99,https://tcgplayer-cdn.tcgplayer.com/product/567227_in_200x200.jpg
Cinderace ex - 028/142,0.82,https://tcgplayer-cdn.tcgplayer.com/product/567254_in_200x200.jpg
Meditite - 153/142,3.84,https://tcgplayer-cdn.tcgplayer.com/product/567436_in_200x200.jpg
Blastoise ex,1.83,https://tcgplayer-cdn.tcgplayer.com/product/567256_in_200x200.jpg
Garganacl ex,0.57,https://tcgplayer-cdn.tcgplayer.com/product/567315_in_200x200.jpg
Eevee,0.16,https://tcgplayer-cdn.tcgplayer.com/product/567339_in_200x200.jpg
Slowpoke,0.16,https://tcgplayer-cdn.tcgplayer.com/product/567283_in_200x200.jpg
Galvantula ex - 051/142,0.79,https://tcgplayer-cdn.tcgplayer.com/product/567277_in_200x200.jpg
Orthworm ex - 110/142,0.67,https://tcgplayer-cdn.tcgplayer.com/product/567336_in_200x200.jpg
Hydrapple ex - 014/142,0.82,https://tcgplayer-cdn.tcgplayer.com/product/567240_in_200x200.jpg
Archaludon - 155/142,2.31,https://tcgplayer-cdn.tcgplayer.com/product/567441_in_200x200.jpg
Greninja ex,0.77,https://tcgplayer-cdn.tcgplayer.com/product/567267_in_200x200.jpg
Fan Rotom,0.08,https://tcgplayer-cdn.tcgplayer.com/product/567344_in_200x200.jpg
Squirtle,75.5,https://tcgplayer-cdn.tcgplayer.com/product/567429_in_200x200.jpg
Crispin - 164/142,6.33,https://tcgplayer-cdn.tcgplayer.com/product/567465_in_200x200.jpg
Ledian - 144/142,3.53,https://tcgplayer-cdn.tcgplayer.com/product/567420_in_200x200.jpg
Joltik - 150/142,6.5,https://tcgplayer-cdn.tcgplayer.com/product/567433_in_200x200.jpg
Bulbasaur,55.85,https://tcgplayer-cdn.tcgplayer.com/product/567418_in_200x200.jpg
Zeraora - 151/142,7.38,https://tcgplayer-cdn.tcgplayer.com/product/567434_in_200x200.jpg
Dachsbun ex - 160/142,1.94,https://tcgplayer-cdn.tcgplayer.com/product/567452_in_200x200.jpg
Lapras,0.07,https://tcgplayer-cdn.tcgplayer.com/product/567257_in_200x200.jpg
Crabominable - 149/142,2.39,https://tcgplayer-cdn.tcgplayer.com/product/567431_in_200x200.jpg
Lacey - 166/142,2.0,https://tcgplayer-cdn.tcgplayer.com/product/567470_in_200x200.jpg
Raboot - 027/142,0.11,https://tcgplayer-cdn.tcgplayer.com/product/567253_in_200x200.jpg
Lapras ex - 158/142,3.65,https://tcgplayer-cdn.tcgplayer.com/product/567448_in_200x200.jpg
Scorbunny,0.08,https://tcgplayer-cdn.tcgplayer.com/product/567252_in_200x200.jpg
Galvantula ex - 159/142,1.5,https://tcgplayer-cdn.tcgplayer.com/product/567449_in_200x200.jpg
Gravity Gemstone,0.07,https://tcgplayer-cdn.tcgplayer.com/product/567400_in_200x200.jpg
Bouffalant,0.09,https://tcgplayer-cdn.tcgplayer.com/product/567345_in_200x200.jpg
Briar - 132/142,0.04,https://tcgplayer-cdn.tcgplayer.com/product/567385_in_200x200.jpg
