name,marketPrice,imageUrl
Code Card - Journey Together Booster Pack,0.05,https://tcgplayer-cdn.tcgplayer.com/product/625974_in_200x200.jpg
Brock's Scouting - 146/159,0.16,https://tcgplayer-cdn.tcgplayer.com/product/623573_in_200x200.jpg
N's PP Up,0.12,https://tcgplayer-cdn.tcgplayer.com/product/623580_in_200x200.jpg
Levincia,0.11,https://tcgplayer-cdn.tcgplayer.com/product/623577_in_200x200.jpg
N's Zoroark ex - 098/159,2.16,https://tcgplayer-cdn.tcgplayer.com/product/623525_in_200x200.jpg
Professor's Research,0.12,https://tcgplayer-cdn.tcgplayer.com/product/623582_in_200x200.jpg
Redeemable Ticket,0.2,https://tcgplayer-cdn.tcgplayer.com/product/623583_in_200x200.jpg
Lillie's Clefairy ex - 056/159,2.48,https://tcgplayer-cdn.tcgplayer.com/product/623483_in_200x200.jpg
Noibat - 169/159,5.07,https://tcgplayer-cdn.tcgplayer.com/product/623596_in_200x200.jpg
N's Zorua,0.17,https://tcgplayer-cdn.tcgplayer.com/product/623524_in_200x200.jpg
Wailord - 162/159,16.82,https://tcgplayer-cdn.tcgplayer.com/product/623589_in_200x200.jpg
N's Reshiram - 116/159,0.2,https://tcgplayer-cdn.tcgplayer.com/product/623543_in_200x200.jpg
Veluza ex,0.58,https://tcgplayer-cdn.tcgplayer.com/product/623470_in_200x200.jpg
Iono's Bellibolt ex - 053/159,0.58,https://tcgplayer-cdn.tcgplayer.com/product/623480_in_200x200.jpg
Tyranitar,0.16,https://tcgplayer-cdn.tcgplayer.com/product/623522_in_200x200.jpg
Paldean Clodsire ex,0.62,https://tcgplayer-cdn.tcgplayer.com/product/623521_in_200x200.jpg
Alcremie ex,0.69,https://tcgplayer-cdn.tcgplayer.com/product/623502_in_200x200.jpg
Maractus - 008/159,0.11,https://tcgplayer-cdn.tcgplayer.com/product/623435_in_200x200.jpg
Dudunsparce ex - 121/159,0.67,https://tcgplayer-cdn.tcgplayer.com/product/623548_in_200x200.jpg
Mamoswine ex - 079/159,0.72,https://tcgplayer-cdn.tcgplayer.com/product/623506_in_200x200.jpg
Iono's Kilowattrel - 163/159,5.37,https://tcgplayer-cdn.tcgplayer.com/product/623590_in_200x200.jpg
Lillie's Ribombee - 164/159,6.24,https://tcgplayer-cdn.tcgplayer.com/product/623591_in_200x200.jpg
Blaziken ex,1.29,https://tcgplayer-cdn.tcgplayer.com/product/623451_in_200x200.jpg
Hop's Wooloo - 170/159,3.86,https://tcgplayer-cdn.tcgplayer.com/product/623597_in_200x200.jpg
N's Castle,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623579_in_200x200.jpg
Articuno - 161/159,18.39,https://tcgplayer-cdn.tcgplayer.com/product/623588_in_200x200.jpg
Lycanroc - 166/159,2.94,https://tcgplayer-cdn.tcgplayer.com/product/623593_in_200x200.jpg
N's Zoroark ex - 175/159,5.37,https://tcgplayer-cdn.tcgplayer.com/product/623602_in_200x200.jpg
Swinub - 165/159,3.0,https://tcgplayer-cdn.tcgplayer.com/product/623592_in_200x200.jpg
N's Reshiram - 167/159,14.5,https://tcgplayer-cdn.tcgplayer.com/product/624677_in_200x200.jpg
Lotad,0.08,https://tcgplayer-cdn.tcgplayer.com/product/623462_in_200x200.jpg
Iono's Bellibolt ex - 172/159,2.31,https://tcgplayer-cdn.tcgplayer.com/product/623599_in_200x200.jpg
Magmortar,0.1,https://tcgplayer-cdn.tcgplayer.com/product/623448_in_200x200.jpg
Super Potion,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623585_in_200x200.jpg
Iris's Fighting Spirit - 180/159,2.2,https://tcgplayer-cdn.tcgplayer.com/product/623607_in_200x200.jpg
Iono's Kilowattrel - 055/159,0.14,https://tcgplayer-cdn.tcgplayer.com/product/623482_in_200x200.jpg
Paldean Wooper,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623520_in_200x200.jpg
Hop's Zacian ex - 176/159,2.31,https://tcgplayer-cdn.tcgplayer.com/product/623603_in_200x200.jpg
Butterfree,0.11,https://tcgplayer-cdn.tcgplayer.com/product/623430_in_200x200.jpg
Mamoswine ex - 174/159,1.21,https://tcgplayer-cdn.tcgplayer.com/product/623601_in_200x200.jpg
Salamence ex - 177/159,2.53,https://tcgplayer-cdn.tcgplayer.com/product/623604_in_200x200.jpg
Volcanion ex - 171/159,1.3,https://tcgplayer-cdn.tcgplayer.com/product/623598_in_200x200.jpg
Iris's Fighting Spirit - 149/159,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623576_in_200x200.jpg
Lycanroc - 085/159,0.18,https://tcgplayer-cdn.tcgplayer.com/product/623512_in_200x200.jpg
Iono's Wattrel,0.12,https://tcgplayer-cdn.tcgplayer.com/product/623481_in_200x200.jpg
Lillie's Pearl,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623578_in_200x200.jpg
Postwick,0.1,https://tcgplayer-cdn.tcgplayer.com/product/623581_in_200x200.jpg
Hop's Dubwool,0.12,https://tcgplayer-cdn.tcgplayer.com/product/623563_in_200x200.jpg
Hop's Corviknight,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623535_in_200x200.jpg
Iono's Tadbulb,0.1,https://tcgplayer-cdn.tcgplayer.com/product/623479_in_200x200.jpg
Dunsparce,0.11,https://tcgplayer-cdn.tcgplayer.com/product/623547_in_200x200.jpg
Regice,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623469_in_200x200.jpg
Alolan Golem,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623473_in_200x200.jpg
Lillie's Ribombee - 067/159,0.11,https://tcgplayer-cdn.tcgplayer.com/product/623494_in_200x200.jpg
Bagon,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623539_in_200x200.jpg
Caterpie,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623428_in_200x200.jpg
Hop's Choice Band,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623575_in_200x200.jpg
Octillery,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623461_in_200x200.jpg
Virizion,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623442_in_200x200.jpg
Regirock,0.12,https://tcgplayer-cdn.tcgplayer.com/product/623509_in_200x200.jpg
Toedscruel,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623516_in_200x200.jpg
N's Klinklang,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623532_in_200x200.jpg
Hop's Sandaconda,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623514_in_200x200.jpg
Iono's Electrode,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623475_in_200x200.jpg
Swinub - 077/159,0.09,https://tcgplayer-cdn.tcgplayer.com/product/623504_in_200x200.jpg
Grimmsnarl,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623500_in_200x200.jpg
Karrablast,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623436_in_200x200.jpg
Alolan Geodude,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623471_in_200x200.jpg
Ruffian - 157/159,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623584_in_200x200.jpg
Magmar,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623447_in_200x200.jpg
Weezing,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623519_in_200x200.jpg
Milcery,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623501_in_200x200.jpg
Torchic,0.1,https://tcgplayer-cdn.tcgplayer.com/product/623449_in_200x200.jpg
Copperajah,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623537_in_200x200.jpg
Lechonk,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623566_in_200x200.jpg
Black Belt's Training - 145/159,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623572_in_200x200.jpg
Sentret,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623545_in_200x200.jpg
Shelgon,0.11,https://tcgplayer-cdn.tcgplayer.com/product/623540_in_200x200.jpg
Floragato,0.11,https://tcgplayer-cdn.tcgplayer.com/product/623444_in_200x200.jpg
Combusken,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623450_in_200x200.jpg
Komala,0.08,https://tcgplayer-cdn.tcgplayer.com/product/623556_in_200x200.jpg
N's Joltik,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623476_in_200x200.jpg
Larvitar,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623507_in_200x200.jpg
Lombre,0.08,https://tcgplayer-cdn.tcgplayer.com/product/623463_in_200x200.jpg
Escavalier,0.03,https://tcgplayer-cdn.tcgplayer.com/product/623529_in_200x200.jpg
N's Sigilyph,0.08,https://tcgplayer-cdn.tcgplayer.com/product/623491_in_200x200.jpg
Metapod,0.09,https://tcgplayer-cdn.tcgplayer.com/product/623429_in_200x200.jpg
Audino,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623551_in_200x200.jpg
Hop's Rookidee,0.08,https://tcgplayer-cdn.tcgplayer.com/product/623560_in_200x200.jpg
Klawf,0.03,https://tcgplayer-cdn.tcgplayer.com/product/623517_in_200x200.jpg
Hop's Silicobra,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623513_in_200x200.jpg
Nymble,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623446_in_200x200.jpg
Mr. Mime,0.08,https://tcgplayer-cdn.tcgplayer.com/product/623485_in_200x200.jpg
Alolan Marowak,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623484_in_200x200.jpg
Spiky Energy - 190/159,6.75,https://tcgplayer-cdn.tcgplayer.com/product/623617_in_200x200.jpg
Black Belt's Training - 144/159,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623571_in_200x200.jpg
Petilil,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623433_in_200x200.jpg
Furret - 119/159,0.1,https://tcgplayer-cdn.tcgplayer.com/product/623546_in_200x200.jpg
N's Purrloin,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623523_in_200x200.jpg
Larvesta,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623455_in_200x200.jpg
Pancham,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623510_in_200x200.jpg
Beldum,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623488_in_200x200.jpg
Shelmet,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623439_in_200x200.jpg
Alolan Graveler,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623472_in_200x200.jpg
N's Klink,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623530_in_200x200.jpg
Volcarona,0.04,https://tcgplayer-cdn.tcgplayer.com/product/623456_in_200x200.jpg
Remoraid,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623460_in_200x200.jpg
Shuppet,0.1,https://tcgplayer-cdn.tcgplayer.com/product/623486_in_200x200.jpg
Torkoal,0.09,https://tcgplayer-cdn.tcgplayer.com/product/623452_in_200x200.jpg
Squawkabilly,0.06,https://tcgplayer-cdn.tcgplayer.com/product/623568_in_200x200.jpg
Druddigon,0.09,https://tcgplayer-cdn.tcgplayer.com/product/623542_in_200x200.jpg
Morgrem,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623499_in_200x200.jpg
N's Zoroark ex - 185/159,57.18,https://tcgplayer-cdn.tcgplayer.com/product/623612_in_200x200.jpg
Pupitar,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623508_in_200x200.jpg
Dhelmise,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623497_in_200x200.jpg
Parasect,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623432_in_200x200.jpg
Volcanion ex - 182/159,27.48,https://tcgplayer-cdn.tcgplayer.com/product/623609_in_200x200.jpg
Drampa,0.05,https://tcgplayer-cdn.tcgplayer.com/product/623557_in_200x200.jpg
N's Klang,0.08,https://tcgplayer-cdn.tcgplayer.com/product/623531_in_200x200.jpg
Wingull,0.07,https://tcgplayer-cdn.tcgplayer.com/product/623465_in_200x200.jpg
Code Card - Journey Together 3 Pack Blister [Yanmega],0.1,https://tcgplayer-cdn.tcgplayer.com/product/637991_in_200x200.jpg
Code Card - Journey Together Elite Trainer Box,0.25,https://tcgplayer-cdn.tcgplayer.com/product/image-missing.svg
Code Card - Journey Together Build & Battle Box,0.51,https://tcgplayer-cdn.tcgplayer.com/product/image-missing.svg
Code Card - Journey Together Enhanced Booster Display,0.22,https://tcgplayer-cdn.tcgplayer.com/product/629809_in_200x200.jpg
Code Card - Journey Together Pokemon Center Elite Trainer Box,0.61,https://tcgplayer-cdn.tcgplayer.com/product/image-missing.svg
Code Card - Journey Together Single Pack Blister [Archaludon],0.0,https://tcgplayer-cdn.tcgplayer.com/product/image-missing.svg
