name,marketPrice,imageUrl
Bulbasaur - 001/165,0.23,https://tcgplayer-cdn.tcgplayer.com/product/502552_in_200x200.jpg
Basic Fire Energy - 002,0.16,https://tcgplayer-cdn.tcgplayer.com/product/656264_in_200x200.jpg
Ivysaur - 002/165,0.25,https://tcgplayer-cdn.tcgplayer.com/product/502553_in_200x200.jpg
Pokegear 3.0,0.3,https://tcgplayer-cdn.tcgplayer.com/product/642530_in_200x200.jpg
Venusaur ex - 003/165,1.45,https://tcgplayer-cdn.tcgplayer.com/product/502554_in_200x200.jpg
Beedrill ex - 003/086,0.69,https://tcgplayer-cdn.tcgplayer.com/product/693453_in_200x200.jpg
Mega Venusaur ex - 003/132,0.96,https://tcgplayer-cdn.tcgplayer.com/product/654342_in_200x200.jpg
Lurantis ex - 004/084,0.44,https://tcgplayer-cdn.tcgplayer.com/product/704761_in_200x200.jpg
Charmander - 004/165,0.18,https://tcgplayer-cdn.tcgplayer.com/product/502555_in_200x200.jpg
Mega Heracross ex - 004/094,0.57,https://tcgplayer-cdn.tcgplayer.com/product/662186_in_200x200.jpg
Basic Psychic Energy - 005,0.12,https://tcgplayer-cdn.tcgplayer.com/product/656267_in_200x200.jpg
Erika's Tangela - 007/217 (Cosmo Holo),0.22,https://tcgplayer-cdn.tcgplayer.com/product/679253_in_200x200.jpg
Squirtle - 007/165,0.26,https://tcgplayer-cdn.tcgplayer.com/product/502548_in_200x200.jpg
Basic Darkness Energy - 007,0.17,https://tcgplayer-cdn.tcgplayer.com/product/656269_in_200x200.jpg
Basic Metal Energy - 008,0.14,https://tcgplayer-cdn.tcgplayer.com/product/656270_in_200x200.jpg
Wartortle - 008/165,0.25,https://tcgplayer-cdn.tcgplayer.com/product/502550_in_200x200.jpg
Blastoise ex - 009/165,2.72,https://tcgplayer-cdn.tcgplayer.com/product/502551_in_200x200.jpg
Shaymin - 010/182,0.32,https://tcgplayer-cdn.tcgplayer.com/product/632836_in_200x200.jpg
Decidueye ex - 012/088,0.51,https://tcgplayer-cdn.tcgplayer.com/product/684370_in_200x200.jpg
Mega Charizard X ex - 013/094,5.04,https://tcgplayer-cdn.tcgplayer.com/product/662182_in_200x200.jpg
Talonflame - 014/088,0.1,https://tcgplayer-cdn.tcgplayer.com/product/684405_in_200x200.jpg
Mega Pyroar ex - 015/086,0.65,https://tcgplayer-cdn.tcgplayer.com/product/693519_in_200x200.jpg
Wailord ex - 016/084,0.59,https://tcgplayer-cdn.tcgplayer.com/product/704773_in_200x200.jpg
Salazzle ex - 016/088,0.43,https://tcgplayer-cdn.tcgplayer.com/product/684376_in_200x200.jpg
Oricorio ex - 018/094,0.53,https://tcgplayer-cdn.tcgplayer.com/product/662206_in_200x200.jpg
Pikachu - 018/091,0.3,https://tcgplayer-cdn.tcgplayer.com/product/534163_in_200x200.jpg
Charmander - 020/217 (Cosmos Holo),0.66,https://tcgplayer-cdn.tcgplayer.com/product/677398_in_200x200.jpg
Froakie - 020/086,0.1,https://tcgplayer-cdn.tcgplayer.com/product/693488_in_200x200.jpg
Mega Starmie ex - 021/088,0.7,https://tcgplayer-cdn.tcgplayer.com/product/684360_in_200x200.jpg
Mega Greninja ex - 022/086,0.94,https://tcgplayer-cdn.tcgplayer.com/product/693515_in_200x200.jpg
Mega Camerupt ex - 022/132,0.57,https://tcgplayer-cdn.tcgplayer.com/product/654361_in_200x200.jpg
Mega Charizard X ex - 023,35.21,https://tcgplayer-cdn.tcgplayer.com/product/659612_in_200x200.jpg
Oricorio ex - 024,11.64,https://tcgplayer-cdn.tcgplayer.com/product/664010_in_200x200.jpg
Mega Kangaskhan ex - 025,0.79,https://tcgplayer-cdn.tcgplayer.com/product/668509_in_200x200.jpg
Pikachu - 025/165,0.26,https://tcgplayer-cdn.tcgplayer.com/product/517033_in_200x200.jpg
Mega Zeraora ex - 027/084,0.5,https://tcgplayer-cdn.tcgplayer.com/product/704784_in_200x200.jpg
Rotom ex - 029/094,0.6,https://tcgplayer-cdn.tcgplayer.com/product/662220_in_200x200.jpg
Rayquaza - SWSH029,8.89,https://tcgplayer-cdn.tcgplayer.com/product/214240_in_200x200.jpg
Mega Charizard X ex - 029,4.82,https://tcgplayer-cdn.tcgplayer.com/product/680639_in_200x200.jpg
Tepig - 029/217 (Cosmos Holo),0.27,https://tcgplayer-cdn.tcgplayer.com/product/681895_in_200x200.jpg
Mega Charizard Y ex - 030,5.2,https://tcgplayer-cdn.tcgplayer.com/product/680640_in_200x200.jpg
Clefairy - 030/088,0.09,https://tcgplayer-cdn.tcgplayer.com/product/684414_in_200x200.jpg
Mega Clefable ex - 031/088,0.62,https://tcgplayer-cdn.tcgplayer.com/product/684383_in_200x200.jpg
N's Zekrom - 031,7.18,https://tcgplayer-cdn.tcgplayer.com/product/680480_in_200x200.jpg
Mega Gardevoir ex - 032,6.71,https://tcgplayer-cdn.tcgplayer.com/product/685510_in_200x200.jpg
Mega Lucario ex - 033,13.16,https://tcgplayer-cdn.tcgplayer.com/product/685511_in_200x200.jpg
Mega Floette ex - 035/086,0.72,https://tcgplayer-cdn.tcgplayer.com/product/693511_in_200x200.jpg
Mega Abomasnow ex - 036/132,0.58,https://tcgplayer-cdn.tcgplayer.com/product/654375_in_200x200.jpg
Mismagius ex - 036/094,0.55,https://tcgplayer-cdn.tcgplayer.com/product/662199_in_200x200.jpg
Fezandipiti ex - 038/064,3.46,https://tcgplayer-cdn.tcgplayer.com/product/560348_in_200x200.jpg
Mega Chandelure ex - 038/084,0.71,https://tcgplayer-cdn.tcgplayer.com/product/704795_in_200x200.jpg
Dhelmise - 039/084,0.16,https://tcgplayer-cdn.tcgplayer.com/product/704796_in_200x200.jpg
Psyduck - 039/217,0.3,https://tcgplayer-cdn.tcgplayer.com/product/675851_in_200x200.jpg
Gourgeist ex - 041/086,0.54,https://tcgplayer-cdn.tcgplayer.com/product/693497_in_200x200.jpg
Magikarp - 042/193,0.19,https://tcgplayer-cdn.tcgplayer.com/product/497453_in_200x200.jpg
Rampardos ex - 045/084,0.53,https://tcgplayer-cdn.tcgplayer.com/product/704802_in_200x200.jpg
Popplio - 045,5.48,https://tcgplayer-cdn.tcgplayer.com/product/684469_in_200x200.jpg
Bulbasaur - 046 (Cosmos Holo),1.86,https://tcgplayer-cdn.tcgplayer.com/product/517271_in_200x200.jpg
Chikorita - 046,7.93,https://tcgplayer-cdn.tcgplayer.com/product/699870_in_200x200.jpg
Charmander - 047 (Cosmos Holo),1.96,https://tcgplayer-cdn.tcgplayer.com/product/517272_in_200x200.jpg
Mega Zygarde ex - 047/088,0.44,https://tcgplayer-cdn.tcgplayer.com/product/684336_in_200x200.jpg
Cyndaquil - 047,11.79,https://tcgplayer-cdn.tcgplayer.com/product/699871_in_200x200.jpg
Squirtle - 048 (Cosmos Holo),2.0,https://tcgplayer-cdn.tcgplayer.com/product/517273_in_200x200.jpg
Mega Darkrai ex - 048/084,0.84,https://tcgplayer-cdn.tcgplayer.com/product/704805_in_200x200.jpg
Totodile - 048,16.68,https://tcgplayer-cdn.tcgplayer.com/product/699872_in_200x200.jpg
Raikou - 048/132 (Cosmos Holo),0.44,https://tcgplayer-cdn.tcgplayer.com/product/670910_in_200x200.jpg
Snivy - 049,4.51,https://tcgplayer-cdn.tcgplayer.com/product/699873_in_200x200.jpg
Tepig - 050,4.56,https://tcgplayer-cdn.tcgplayer.com/product/699874_in_200x200.jpg
Mega Manectric ex - 050/132,0.71,https://tcgplayer-cdn.tcgplayer.com/product/654389_in_200x200.jpg
Oshawott - 051,7.63,https://tcgplayer-cdn.tcgplayer.com/product/699875_in_200x200.jpg
Grookey - 052,4.47,https://tcgplayer-cdn.tcgplayer.com/product/699876_in_200x200.jpg
Yveltal ex - 053/088,0.48,https://tcgplayer-cdn.tcgplayer.com/product/684386_in_200x200.jpg
Scorbunny - 053,4.78,https://tcgplayer-cdn.tcgplayer.com/product/699877_in_200x200.jpg
Psyduck - 054/165,0.2,https://tcgplayer-cdn.tcgplayer.com/product/516231_in_200x200.jpg
Sobble - 054,3.19,https://tcgplayer-cdn.tcgplayer.com/product/699878_in_200x200.jpg
Morpeko ex - 055/084,0.45,https://tcgplayer-cdn.tcgplayer.com/product/704812_in_200x200.jpg
Treecko -  055,10.83,https://tcgplayer-cdn.tcgplayer.com/product/709969_in_200x200.jpg
Mega Skarmory ex - 055/088,0.61,https://tcgplayer-cdn.tcgplayer.com/product/684351_in_200x200.jpg
Lillie's Clefairy ex - 056/159,2.09,https://tcgplayer-cdn.tcgplayer.com/product/623483_in_200x200.jpg
Pikachu ex - 057/217,3.65,https://tcgplayer-cdn.tcgplayer.com/product/675869_in_200x200.jpg
Mudkip -  057,22.74,https://tcgplayer-cdn.tcgplayer.com/product/709971_in_200x200.jpg
Colress's Tenacity - 057/064,0.25,https://tcgplayer-cdn.tcgplayer.com/product/560368_in_200x200.jpg
Chespin -  058,5.37,https://tcgplayer-cdn.tcgplayer.com/product/709972_in_200x200.jpg
Fennekin -  059,7.23,https://tcgplayer-cdn.tcgplayer.com/product/709973_in_200x200.jpg
Mega Gardevoir ex - 060/132,0.61,https://tcgplayer-cdn.tcgplayer.com/product/654399_in_200x200.jpg
Froakie -  060,9.4,https://tcgplayer-cdn.tcgplayer.com/product/709974_in_200x200.jpg
Mega Sharpedo ex - 061/094,0.6,https://tcgplayer-cdn.tcgplayer.com/product/662191_in_200x200.jpg
Sprigatito -  061,8.68,https://tcgplayer-cdn.tcgplayer.com/product/709975_in_200x200.jpg
Bastiodon - 062/084,0.17,https://tcgplayer-cdn.tcgplayer.com/product/704819_in_200x200.jpg
Fuecoco -  062,8.31,https://tcgplayer-cdn.tcgplayer.com/product/709976_in_200x200.jpg
Meowth ex - 062/088,2.27,https://tcgplayer-cdn.tcgplayer.com/product/684340_in_200x200.jpg
Quaxly -  063,5.11,https://tcgplayer-cdn.tcgplayer.com/product/709977_in_200x200.jpg
Xerosic's Machinations - 064/064,0.26,https://tcgplayer-cdn.tcgplayer.com/product/560375_in_200x200.jpg
Cobalion ex - 064/086,0.46,https://tcgplayer-cdn.tcgplayer.com/product/693468_in_200x200.jpg
Mega Dragalge ex - 065/086,0.68,https://tcgplayer-cdn.tcgplayer.com/product/693508_in_200x200.jpg
Mega Excadrill ex - 065/084,0.9,https://tcgplayer-cdn.tcgplayer.com/product/704822_in_200x200.jpg
Toucannon - 068/084,0.13,https://tcgplayer-cdn.tcgplayer.com/product/704825_in_200x200.jpg
Makuhita - 068,0.28,https://tcgplayer-cdn.tcgplayer.com/product/686275_in_200x200.jpg
Tyrunt - 070,2.95,https://tcgplayer-cdn.tcgplayer.com/product/685562_in_200x200.jpg
Empoleon ex - 070/094,0.72,https://tcgplayer-cdn.tcgplayer.com/product/662155_in_200x200.jpg
Mega Zygarde ex - 071,0.5,https://tcgplayer-cdn.tcgplayer.com/product/695311_in_200x200.jpg
Latios - 073/182 (Cosmos Holo),1.32,https://tcgplayer-cdn.tcgplayer.com/product/604413_in_200x200.jpg
Cinccino ex - 073/086,0.65,https://tcgplayer-cdn.tcgplayer.com/product/693463_in_200x200.jpg
Mega Gengar ex - 073,5.09,https://tcgplayer-cdn.tcgplayer.com/product/696608_in_200x200.jpg
Dark Bell - 075/084,0.24,https://tcgplayer-cdn.tcgplayer.com/product/704832_in_200x200.jpg
Latias ex - 076/191,5.87,https://tcgplayer-cdn.tcgplayer.com/product/589983_in_200x200.jpg
Mega Lucario ex - 077/132,0.72,https://tcgplayer-cdn.tcgplayer.com/product/654416_in_200x200.jpg
Gladion's Final Battle - 077/084,0.22,https://tcgplayer-cdn.tcgplayer.com/product/704834_in_200x200.jpg
Toxel - 078 (Cosmos Holo),0.31,https://tcgplayer-cdn.tcgplayer.com/product/694692_in_200x200.jpg
Gwynn - 078/084,0.18,https://tcgplayer-cdn.tcgplayer.com/product/704835_in_200x200.jpg
Charmeleon - 079 (Cosmos Holo),0.73,https://tcgplayer-cdn.tcgplayer.com/product/694693_in_200x200.jpg
Team Rocket's Mewtwo ex - 079/217,1.38,https://tcgplayer-cdn.tcgplayer.com/product/675891_in_200x200.jpg
Prism Tower - 080/086,0.17,https://tcgplayer-cdn.tcgplayer.com/product/693534_in_200x200.jpg
Misty's Vitality - 080/084,0.23,https://tcgplayer-cdn.tcgplayer.com/product/704837_in_200x200.jpg
Fennekin - 080,2.52,https://tcgplayer-cdn.tcgplayer.com/product/694694_in_200x200.jpg
Mega Greninja ex - 081,0.79,https://tcgplayer-cdn.tcgplayer.com/product/704879_in_200x200.jpg
Poke Pad - 081/088,0.31,https://tcgplayer-cdn.tcgplayer.com/product/684332_in_200x200.jpg
Team Rocket's Mewtwo ex - 081/182,1.76,https://tcgplayer-cdn.tcgplayer.com/product/632891_in_200x200.jpg
Special Red Card - 082/086,0.16,https://tcgplayer-cdn.tcgplayer.com/product/693547_in_200x200.jpg
Mega Lopunny ex - 084/094,0.58,https://tcgplayer-cdn.tcgplayer.com/product/662188_in_200x200.jpg
Battle Cage - 085/094,0.23,https://tcgplayer-cdn.tcgplayer.com/product/662130_in_200x200.jpg
Fomantis - 085/084,2.88,https://tcgplayer-cdn.tcgplayer.com/product/704842_in_200x200.jpg
