name,marketPrice,imageUrl
Code Card - Destined Rivals Booster Pack,0.05,https://tcgplayer-cdn.tcgplayer.com/product/633169_in_200x200.jpg
Team Rocket's Articuno,0.19,https://tcgplayer-cdn.tcgplayer.com/product/632864_in_200x200.jpg
Team Rocket's Watchtower,0.18,https://tcgplayer-cdn.tcgplayer.com/product/632980_in_200x200.jpg
Team Rocket's Zapdos,0.19,https://tcgplayer-cdn.tcgplayer.com/product/630818_in_200x200.jpg
Shaymin - 010/182,0.26,https://tcgplayer-cdn.tcgplayer.com/product/632836_in_200x200.jpg
Cynthia's Garchomp ex - 104/182,1.36,https://tcgplayer-cdn.tcgplayer.com/product/632912_in_200x200.jpg
Cynthia's Gabite,0.28,https://tcgplayer-cdn.tcgplayer.com/product/632911_in_200x200.jpg
Team Rocket's Energy,0.35,https://tcgplayer-cdn.tcgplayer.com/product/632982_in_200x200.jpg
Cynthia's Gible,0.1,https://tcgplayer-cdn.tcgplayer.com/product/632910_in_200x200.jpg
Team Rocket's Mewtwo ex - 081/182,1.49,https://tcgplayer-cdn.tcgplayer.com/product/632891_in_200x200.jpg
Cynthia's Power Weight,0.11,https://tcgplayer-cdn.tcgplayer.com/product/632964_in_200x200.jpg
Ethan's Typhlosion,0.63,https://tcgplayer-cdn.tcgplayer.com/product/630809_in_200x200.jpg
Misty's Magikarp,0.15,https://tcgplayer-cdn.tcgplayer.com/product/630815_in_200x200.jpg
Team Rocket's Petrel - 176/182,0.13,https://tcgplayer-cdn.tcgplayer.com/product/632976_in_200x200.jpg
Ethan's Adventure - 165/182,0.15,https://tcgplayer-cdn.tcgplayer.com/product/632967_in_200x200.jpg
Team Rocket's Ariana - 171/182,0.14,https://tcgplayer-cdn.tcgplayer.com/product/632972_in_200x200.jpg
Team Rocket's Giovanni,0.12,https://tcgplayer-cdn.tcgplayer.com/product/630830_in_200x200.jpg
Ethan's Ho-Oh ex - 039/182,1.02,https://tcgplayer-cdn.tcgplayer.com/product/632858_in_200x200.jpg
Team Rocket's Tyranitar,0.25,https://tcgplayer-cdn.tcgplayer.com/product/630822_in_200x200.jpg
Sacred Ash,0.14,https://tcgplayer-cdn.tcgplayer.com/product/632970_in_200x200.jpg
Team Rocket's Factory,0.13,https://tcgplayer-cdn.tcgplayer.com/product/632974_in_200x200.jpg
Team Rocket's Crobat ex - 122/182,0.79,https://tcgplayer-cdn.tcgplayer.com/product/632930_in_200x200.jpg
Electivire ex - 069/182,0.6,https://tcgplayer-cdn.tcgplayer.com/product/632882_in_200x200.jpg
Ethan's Pichu,0.12,https://tcgplayer-cdn.tcgplayer.com/product/630819_in_200x200.jpg
Cetitan ex - 065/182,0.55,https://tcgplayer-cdn.tcgplayer.com/product/632878_in_200x200.jpg
Regirock ex - 101/182,0.64,https://tcgplayer-cdn.tcgplayer.com/product/632909_in_200x200.jpg
Arboliva ex,0.6,https://tcgplayer-cdn.tcgplayer.com/product/630807_in_200x200.jpg
Arven's Mabosstiff ex - 139/182,0.62,https://tcgplayer-cdn.tcgplayer.com/product/632946_in_200x200.jpg
Dondozo ex - 066/182,0.66,https://tcgplayer-cdn.tcgplayer.com/product/632879_in_200x200.jpg
Marnie's Impidimp,0.09,https://tcgplayer-cdn.tcgplayer.com/product/632942_in_200x200.jpg
Dwebble,0.13,https://tcgplayer-cdn.tcgplayer.com/product/632837_in_200x200.jpg
Spikemuth Gym,0.14,https://tcgplayer-cdn.tcgplayer.com/product/630829_in_200x200.jpg
Steven's Metagross ex,0.71,https://tcgplayer-cdn.tcgplayer.com/product/630824_in_200x200.jpg
Kangaskhan - 204/182,12.41,https://tcgplayer-cdn.tcgplayer.com/product/633004_in_200x200.jpg
Team Rocket's Great Ball,0.09,https://tcgplayer-cdn.tcgplayer.com/product/632975_in_200x200.jpg
Cynthia's Spiritomb,0.14,https://tcgplayer-cdn.tcgplayer.com/product/632937_in_200x200.jpg
Team Rocket's Spidops - 020/182,0.15,https://tcgplayer-cdn.tcgplayer.com/product/632846_in_200x200.jpg
Team Rocket's Archer - 170/182,0.12,https://tcgplayer-cdn.tcgplayer.com/product/632971_in_200x200.jpg
Blaziken - 042/182,0.19,https://tcgplayer-cdn.tcgplayer.com/product/632861_in_200x200.jpg
